trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge vpl/dStopTime 
rand_283 -1.687545 -1.115990 0.006965 -1.628937 0.192792 4669298.968557 7029333041.360492 
rand_284 -1.679165 -1.164608 0.000054 -1.628953 0.192207 5870257.866334 6734705866.950626 
rand_285 -1.677785 -1.125197 0.002758 -1.629009 0.188290 5132344.321881 7051574028.441072 
rand_286 -1.660344 -1.081142 0.000362 -1.628930 0.199896 5473504.851530 7009348371.437074 
rand_287 -1.659029 -1.148219 0.004202 -1.628957 0.198804 6039206.972916 6815986527.102125 
rand_288 -1.641316 -1.118587 0.001101 -1.628926 0.186143 5500542.023347 7073505542.897518 
rand_289 -1.659172 -1.138460 0.004661 -1.628966 0.192258 5256254.028909 8939277537.189697 
rand_290 -1.662354 -1.097650 0.005849 -1.628969 0.193241 4463305.198015 7496184293.006283 
rand_291 -1.633676 -1.143310 0.005284 -1.628945 0.200745 7224251.200097 7075587942.844047 
rand_292 -1.674499 -1.132374 0.001183 -1.628906 0.186727 5365592.447765 7293584645.239919 
rand_293 -1.659458 -1.117523 0.008621 -1.628926 0.196517 4956006.923005 6425422072.973389 
rand_294 -1.683724 -1.156642 0.003881 -1.628915 0.189778 5792896.014254 6582840926.693252 
rand_295 -1.656489 -1.133255 0.007290 -1.628959 0.199004 6164762.678116 7392733941.621017 
rand_296 -1.641418 -1.119293 0.011474 -1.628928 0.196080 5185695.354860 7793202136.938385 
rand_297 -1.674428 -1.175548 0.009992 -1.628955 0.190342 4147911.040287 7266549479.520910 
rand_298 -1.621922 -1.112978 0.001584 -1.628899 0.192475 4569578.807562 6649376250.882175 
rand_299 -1.659293 -1.152583 0.008061 -1.628898 0.194407 3785059.262585 7493131826.786086 
rand_300 -1.647189 -1.153710 0.012858 -1.628946 0.187789 4808055.978444 7181582909.894485 
rand_301 -1.695420 -1.104548 0.011375 -1.628889 0.199296 5022356.056022 7047637062.675714 
rand_302 -1.627727 -1.141940 0.001009 -1.628936 0.189997 4814791.567823 7401541269.036706 
rand_303 -1.634906 -1.165291 0.001227 -1.628888 0.194368 6094499.488017 7521163829.803869 
rand_304 -1.705353 -1.125533 0.007104 -1.628963 0.192071 3774471.012594 7242278361.660769 
rand_305 -1.691738 -1.109460 0.007815 -1.628963 0.190234 5504472.563500 7866356769.764565 
rand_306 -1.641675 -1.146702 0.005668 -1.628916 0.192200 3943624.555460 7291620885.334219 
rand_307 -1.638241 -1.123905 0.004179 -1.628953 0.197618 6118721.823956 6975475170.893772 
rand_308 -1.702856 -1.129871 0.009575 -1.628920 0.189999 2973001.889030 6989623330.097828 
rand_309 -1.643171 -1.151020 0.001969 -1.628959 0.192053 5184841.116843 7481468335.725077 
rand_310 -1.675340 -1.147463 0.005023 -1.628965 0.202171 5973052.864599 7130433701.071114 
rand_311 -1.662335 -1.117477 0.003812 -1.628905 0.190785 5401375.469130 7853228218.560004 
rand_312 -1.664962 -1.113313 0.002766 -1.628875 0.194773 3912140.071879 6781994340.808225 
rand_313 -1.677639 -1.128084 0.005250 -1.628935 0.197634 5476895.632196 6584864164.133183 
rand_314 -1.665646 -1.188519 0.007115 -1.628914 0.194944 5150041.135938 7283248422.412955 
rand_315 -1.681287 -1.091346 0.008436 -1.628936 0.185513 3348321.274234 7690680674.391921 
rand_316 -1.674076 -1.095985 0.002545 -1.628914 0.196273 4165630.707587 7281580919.398012 
rand_317 -1.686898 -1.114927 0.003919 -1.629017 0.190773 4373402.039923 6942574034.053959 
rand_318 -1.631383 -1.150869 0.002288 -1.628947 0.196412 3657267.541844 7215093136.662419 
rand_319 -1.671741 -1.154972 0.008340 -1.628877 0.193763 5285006.755124 6531620278.636500 
rand_320 -1.637822 -1.131072 0.001903 -1.628920 0.193008 7244683.517719 7068526318.404361 
rand_321 -1.646926 -1.142354 0.002982 -1.628933 0.204413 4974869.436305 6915249494.969139 
rand_322 -1.634902 -1.106996 0.005420 -1.628915 0.193329 4305740.398750 6843529847.722286 
rand_323 -1.670407 -1.109966 0.001636 -1.628906 0.193727 4500062.255795 6475368112.740952 
rand_324 -1.664704 -1.159734 0.008719 -1.628989 0.195878 2769079.881591 7033363559.663366 
rand_325 -1.657675 -1.106443 0.002800 -1.628938 0.188364 3336696.125263 6927451033.460614 
rand_326 -1.688045 -1.134611 0.002215 -1.628965 0.193229 5601433.173488 8157009730.184345 
rand_327 -1.658283 -1.143561 0.001324 -1.628873 0.194551 4638961.123435 7585496028.147244 
rand_328 -1.667018 -1.131211 0.002764 -1.628972 0.195509 3376991.939185 7274640640.799006 
rand_329 -1.632738 -1.154005 0.002736 -1.628936 0.192491 5177388.303511 6309048067.627110 
rand_330 -1.627220 -1.105334 0.000882 -1.628914 0.188911 4719838.057526 6462372234.931700 
rand_331 -1.618397 -1.133388 0.002246 -1.628914 0.197369 5654573.059802 7444811464.362599 
rand_332 -1.701254 -1.108232 0.005388 -1.628960 0.198912 4261713.988539 8256392166.881708 
rand_333 -1.644051 -1.108522 0.008383 -1.628958 0.190728 7061867.445565 7415347043.022889 
rand_334 -1.667692 -1.141088 0.000704 -1.628952 0.199954 3656010.036145 7759783924.281844 
rand_335 -1.675731 -1.127777 0.007685 -1.628945 0.194112 4082822.158743 7615455560.785774 
rand_336 -1.625006 -1.144899 0.004917 -1.628943 0.190032 3271012.830426 6828343184.775224 
rand_337 -1.683265 -1.103957 0.007107 -1.628913 0.194345 4384827.998647 7289534066.999038 
rand_338 -1.655225 -1.139986 0.005165 -1.628947 0.188669 4887008.270575 6618795161.878366 
rand_339 -1.681692 -1.116751 0.004370 -1.628923 0.197375 5764538.088974 6969451191.158532 
rand_340 -1.715790 -1.110022 0.005570 -1.628949 0.195931 4845665.893660 6914296845.513580 
rand_341 -1.694569 -1.097244 0.000509 -1.628919 0.189503 5533961.872631 6912412676.799497 
rand_342 -1.713007 -1.108503 0.006953 -1.628923 0.188777 5781635.537321 7341678873.821667 
rand_343 -1.670057 -1.135595 0.000633 -1.628940 0.184202 4393026.211758 7057827386.578374 
rand_344 -1.689629 -1.100905 0.004207 -1.628954 0.192645 3749816.720558 6899860268.571418 
rand_345 -1.633410 -1.108719 0.006712 -1.628946 0.191749 5075967.582977 7214615473.487403 
rand_346 -1.646694 -1.158426 0.005390 -1.628952 0.193150 6066139.041183 7288589256.789978 
rand_347 -1.681196 -1.108033 0.005696 -1.628929 0.191219 6506849.694916 6776901043.375592 
rand_348 -1.683691 -1.121032 0.009463 -1.628909 0.199357 2975752.969646 8415062226.638204 
rand_349 -1.673239 -1.132615 0.004970 -1.628918 0.191152 3338114.705618 7383270324.140843 
rand_350 -1.668648 -1.132302 0.002329 -1.628909 0.200465 3476789.779471 7094809776.043843 
rand_351 -1.631903 -1.130578 0.010713 -1.628959 0.192179 6204196.067014 7418237795.767595 
rand_352 -1.672126 -1.137247 0.001128 -1.628932 0.191157 6171946.592236 6703362533.887205 
rand_353 -1.657748 -1.121691 0.000184 -1.628949 0.192432 4844015.578699 6807618369.183332 
rand_354 -1.672715 -1.108465 0.008231 -1.628930 0.192782 4976568.562083 6391304166.199223 
rand_355 -1.646916 -1.151133 0.000578 -1.628914 0.204910 5661025.499405 6439421878.939109 
rand_356 -1.643384 -1.167401 0.004037 -1.628943 0.186356 5417746.252227 7635679854.305775 
rand_357 -1.632686 -1.129057 0.000352 -1.628974 0.200207 6812231.490930 7394662376.582186 
rand_358 -1.638711 -1.109729 0.001495 -1.628958 0.196572 4604403.666517 7165587702.389451 
rand_359 -1.715588 -1.115836 0.003558 -1.628986 0.193541 5610350.463388 6679395417.567222 
rand_360 -1.694990 -1.139359 0.011067 -1.628930 0.188499 5046783.644005 7646897980.003162 
rand_361 -1.655208 -1.134849 0.001877 -1.628943 0.200930 6127030.934351 6892447287.683460 
rand_362 -1.654566 -1.167979 0.004932 -1.628947 0.187964 5617508.211698 7078850899.463697 
rand_363 -1.666497 -1.102708 0.005471 -1.628971 0.196007 4940092.080913 6906994382.026554 
rand_364 -1.637913 -1.139004 0.005021 -1.628947 0.190057 4482431.061606 7828158187.114347 
rand_365 -1.625405 -1.127256 0.002939 -1.628935 0.199725 4758399.696670 6914947949.407729 
rand_366 -1.675819 -1.135783 0.006749 -1.628937 0.190652 3815589.764633 7639447091.173407 
rand_367 -1.695815 -1.147037 0.004305 -1.628907 0.196533 5859070.915235 6984469755.530609 
rand_368 -1.649951 -1.141774 0.000290 -1.628954 0.192764 4495208.130852 6246575185.625802 
rand_369 -1.673933 -1.139447 0.002326 -1.628932 0.190325 5161215.378097 6837172602.195037 
rand_370 -1.709043 -1.142956 0.004667 -1.628901 0.187421 3473015.049839 7230446084.088155 
rand_371 -1.653401 -1.115816 0.003287 -1.628904 0.198973 5361873.807912 7091699908.609747 
rand_372 -1.649822 -1.115228 0.002453 -1.628906 0.196881 4504650.210432 7781290181.986020 
rand_373 -1.676253 -1.134901 0.002766 -1.628937 0.191220 7631618.013112 7312121139.489718 
rand_374 -1.663688 -1.127496 0.002447 -1.628934 0.192629 5662793.362098 7813934089.345618 
rand_375 -1.652734 -1.100259 0.001263 -1.628938 0.188249 2866446.331023 6941372454.673897 
rand_376 -1.626249 -1.161680 0.004961 -1.628913 0.190285 6211400.566812 6742053270.212245 
rand_377 -1.645849 -1.099249 0.002114 -1.628957 0.194802 5214370.179227 7040863141.022735 
rand_378 -1.694462 -1.097842 0.001240 -1.628913 0.189221 3426447.295736 7403249874.025458 
rand_379 -1.625899 -1.114207 0.004692 -1.628957 0.194278 3783749.425150 6524707712.615571 
rand_380 -1.620806 -1.121224 0.003446 -1.628914 0.197656 3946595.120117 7583136282.286145 
rand_381 -1.650293 -1.121188 0.003749 -1.628914 0.195291 6472291.041439 7641283874.273453 
rand_382 -1.634114 -1.159390 0.003348 -1.628908 0.188076 3697649.215346 7534347501.197191 
rand_383 -1.687859 -1.118268 0.001487 -1.628915 0.194368 5043957.057608 7127610797.047778 
rand_384 -1.659105 -1.107939 0.002191 -1.628919 0.202213 4106020.918937 7352118607.623482 
rand_385 -1.640377 -1.154943 0.004950 -1.628873 0.201298 4353327.841285 6867816736.418560 
rand_386 -1.654037 -1.150038 0.009053 -1.628967 0.193054 5415545.118257 7484918866.578864 
rand_387 -1.677081 -1.100715 0.001016 -1.628894 0.192216 5475025.565191 6914348749.813858 
rand_388 -1.683124 -1.134704 0.007833 -1.628883 0.198237 3854004.010420 6862858398.114242 
rand_389 -1.653360 -1.111747 0.007769 -1.628941 0.192498 2929542.885625 7062883842.657963 
rand_390 -1.642601 -1.149574 0.002396 -1.628905 0.187470 3716893.644642 7102763051.630991 
rand_391 -1.686358 -1.116630 0.004194 -1.628885 0.196791 4626697.399345 7720132706.317609 
rand_392 -1.672384 -1.117010 0.007879 -1.628932 0.190627 5569494.037581 6914551853.964989 
rand_393 -1.605970 -1.171422 0.000753 -1.628934 0.192423 5490550.479454 7445782601.893842 
rand_394 -1.645236 -1.114581 0.002081 -1.628953 0.194561 6447154.699106 6446362801.608561 
rand_395 -1.665715 -1.140828 0.010458 -1.628868 0.191642 5656842.544117 7652297113.477852 
rand_396 -1.637442 -1.123295 0.006340 -1.628897 0.197862 4251339.466440 6486114741.728498 
rand_397 -1.643017 -1.134926 0.000975 -1.628956 0.197795 5287597.614415 7672831469.802752 
rand_398 -1.654731 -1.110383 0.002308 -1.628910 0.197853 2982344.936875 7305634840.942313 
rand_399 -1.654249 -1.107565 0.003091 -1.628937 0.200548 5673264.576037 7839156270.012055 
rand_400 -1.675231 -1.101507 0.001402 -1.628971 0.194135 5666928.568471 7024573308.060433 
rand_401 -1.638317 -1.104483 0.002905 -1.628853 0.190933 3868071.100602 7421111441.289928 
rand_402 -1.678389 -1.108733 0.010927 -1.628954 0.189960 6800413.942094 6904345154.379599 
rand_403 -1.639948 -1.132662 0.007413 -1.628941 0.189526 5807214.831958 7148300468.224004 
rand_404 -1.638338 -1.133348 0.002495 -1.628936 0.187612 6326874.459666 7560759031.949909 
rand_405 -1.672993 -1.139517 0.008224 -1.628944 0.189534 6030284.616993 6905147456.186018 
rand_406 -1.698815 -1.144935 0.005585 -1.628933 0.196956 4352202.293212 6995275902.966863 
rand_407 -1.643522 -1.161224 0.006704 -1.628902 0.193761 4517352.149575 7032529276.105546 
rand_408 -1.642054 -1.117948 0.012755 -1.628938 0.197798 4119124.926516 6840976037.049679 
rand_409 -1.649985 -1.130531 0.004155 -1.628914 0.187919 2609191.295071 7284870473.032851 
rand_410 -1.693562 -1.126336 0.003354 -1.628927 0.192121 5622616.722105 7109485569.078205 
rand_411 -1.653129 -1.116022 0.003356 -1.628964 0.207905 6335804.609390 7796982657.581421 
rand_412 -1.619439 -1.129152 0.005995 -1.628917 0.200889 4913118.245295 6744462451.104557 
rand_413 -1.622204 -1.137314 0.006099 -1.628934 0.205628 8003853.089142 7148207339.445301 
rand_414 -1.631154 -1.133853 0.009113 -1.628980 0.203340 4412587.007061 6740590758.022141 
rand_415 -1.646552 -1.141853 0.002945 -1.628963 0.194137 3721163.211201 6773214254.632290 
rand_416 -1.648331 -1.109618 0.003034 -1.628910 0.195691 5386101.811413 6736209561.270058 
rand_417 -1.671425 -1.156911 0.007814 -1.628864 0.194976 5077719.184637 6627079656.049673 
rand_418 -1.621671 -1.121168 0.000770 -1.628927 0.191859 5881903.797966 7845694106.726746 
rand_419 -1.655484 -1.127775 0.002511 -1.629014 0.202010 5406367.785403 7897367478.103281 
rand_420 -1.633240 -1.157191 0.000100 -1.628919 0.199663 6277137.956691 7373098888.115692 
rand_421 -1.666634 -1.133727 0.005309 -1.628973 0.200351 3454127.959268 7235277575.160137 
rand_422 -1.645861 -1.117339 0.004998 -1.628943 0.188766 4980821.293598 6710502487.906767 
rand_423 -1.662495 -1.133831 0.001493 -1.628880 0.191035 4635294.589176 7146650665.965783 
rand_424 -1.694846 -1.145381 0.000867 -1.628950 0.195714 5892522.398067 7665293656.169860 
rand_425 -1.677369 -1.128936 0.003109 -1.628918 0.188875 4179703.609289 7627010604.253541 
rand_426 -1.669140 -1.158755 0.004454 -1.628932 0.194394 4017324.627095 7271427612.473377 
rand_427 -1.624913 -1.141227 0.008213 -1.628924 0.188260 4950025.192124 6968932305.086759 
rand_428 -1.685459 -1.152821 0.006786 -1.628976 0.188550 5234503.966056 6637695312.210945 
rand_429 -1.682691 -1.125057 0.006402 -1.628924 0.202024 5496681.786030 7273238139.118892 
rand_430 -1.676735 -1.108447 0.000326 -1.628897 0.206145 4084115.578920 6875971558.593166 
rand_431 -1.631999 -1.121351 0.010940 -1.628966 0.198948 5763623.873797 6976424929.802062 
rand_432 -1.663324 -1.095839 0.001706 -1.628897 0.191596 3790424.964188 7907257228.769649 
rand_433 -1.662681 -1.108942 0.000933 -1.628956 0.193960 4299876.860377 6830527910.226608 
rand_434 -1.641362 -1.147549 0.000326 -1.628905 0.196882 4899062.278695 7576419232.359985 
rand_435 -1.621730 -1.133997 0.000391 -1.628952 0.197994 6041923.441033 7146201748.435946 
rand_436 -1.614772 -1.121995 0.004929 -1.628960 0.194516 3728660.677723 6927721308.704982 
rand_437 -1.624267 -1.144599 0.011299 -1.628913 0.198378 5838467.536540 7473095838.424225 
rand_438 -1.664217 -1.120547 0.000769 -1.628919 0.195391 4972418.012676 6677838997.620208 
rand_439 -1.668697 -1.121791 0.010295 -1.628971 0.190291 5498076.451076 6623028139.759166 
rand_440 -1.663565 -1.124153 0.009163 -1.628904 0.196648 4307384.211240 7193116220.699730 
rand_441 -1.699801 -1.131712 0.004110 -1.628966 0.199970 4879655.588001 8073081374.300665 
rand_442 -1.692338 -1.149927 0.001851 -1.628943 0.196256 5358428.074669 8033732666.304752 
rand_443 -1.645690 -1.121854 0.006553 -1.628925 0.190442 6817435.720116 7012451366.809609 
rand_444 -1.695231 -1.128459 0.005314 -1.628952 0.195074 3560300.410219 7102308824.794335 
rand_445 -1.684077 -1.144849 0.000993 -1.628908 0.191491 4362266.456947 6743279853.137039 
rand_446 -1.655610 -1.128826 0.001832 -1.628915 0.189753 4461802.905410 7661722760.696753 
rand_447 -1.684351 -1.137161 0.004889 -1.628931 0.189737 5210641.800638 7796282543.187649 
rand_448 -1.672900 -1.120080 0.001734 -1.628993 0.190741 3487658.916632 7009693684.143526 
rand_449 -1.672536 -1.119934 0.005793 -1.628897 0.195912 3636240.463609 6917425657.404713 
rand_450 -1.715637 -1.140528 0.004831 -1.628929 0.201208 6911337.900232 7262848641.856864 
rand_451 -1.661346 -1.130979 0.000459 -1.628944 0.199015 4811616.304225 6762261278.288661 
rand_452 -1.668527 -1.139550 0.002172 -1.628928 0.196458 4553546.736719 7333500168.179907 
rand_453 -1.665270 -1.101121 0.006444 -1.628903 0.198583 7556250.368755 6265831999.531319 
rand_454 -1.691902 -1.136602 0.006355 -1.628922 0.200596 4507288.966543 7159227829.259981 
rand_455 -1.679769 -1.124131 0.004444 -1.628924 0.200474 4539939.733177 7094804413.873160 
rand_456 -1.670103 -1.093835 0.008721 -1.628974 0.194170 5103667.114470 6776738591.330161 
rand_457 -1.685134 -1.180361 0.006992 -1.628977 0.191897 5834550.682315 7253916831.046358 
rand_458 -1.671931 -1.117116 0.004942 -1.628937 0.203754 3389058.425591 7996170517.497602 
rand_459 -1.603088 -1.119741 0.003391 -1.628915 0.197368 6915815.321254 7475741387.330148 
rand_460 -1.652324 -1.142261 0.006991 -1.628900 0.199224 5917672.969570 6819532398.751247 
rand_461 -1.670246 -1.157527 0.002120 -1.628890 0.188956 5633276.021601 6855918216.707521 
rand_462 -1.662374 -1.138905 0.006558 -1.628871 0.201766 4405287.452365 6970042340.189631 
rand_463 -1.631967 -1.135404 0.003998 -1.628937 0.190985 4882008.567187 7017990244.619172 
rand_464 -1.674413 -1.123330 0.003304 -1.628919 0.191789 5723732.950673 6418920231.687082 
rand_465 -1.653976 -1.157479 0.004110 -1.628925 0.190128 4442861.021706 7172709559.926573 
rand_466 -1.629265 -1.149356 0.003754 -1.628946 0.194221 6004902.014408 7026323904.426065 
rand_467 -1.661103 -1.139466 0.001507 -1.628900 0.194871 5158670.767323 6884803455.626619 
rand_468 -1.665189 -1.089528 0.009418 -1.628907 0.193631 3471288.104342 7213907836.596519 
rand_469 -1.625403 -1.137521 0.006307 -1.628935 0.194662 4023063.005349 7510705742.561419 
rand_470 -1.636433 -1.146067 0.002833 -1.628955 0.189329 4406492.456769 6998727693.191394 
rand_471 -1.647780 -1.114145 0.006310 -1.628963 0.197552 4767365.063405 6857150446.450295 
rand_472 -1.662369 -1.162573 0.003499 -1.628949 0.203721 4853696.707064 7290983310.124766 
rand_473 -1.686712 -1.147441 0.003676 -1.628922 0.191029 4402212.603044 6748531400.149847 
rand_474 -1.613231 -1.169667 0.004540 -1.628947 0.190606 4313558.428529 7370193723.240286 
rand_475 -1.634540 -1.131837 0.004602 -1.628926 0.193554 4840557.322833 7512034873.504045 
rand_476 -1.661873 -1.141563 0.006430 -1.628940 0.193277 4800570.131546 7404267871.329865 
rand_477 -1.632434 -1.103426 0.005630 -1.628937 0.188891 3669707.097161 6774419738.758478 
rand_478 -1.636803 -1.125990 0.004203 -1.628921 0.187523 5086841.805267 7125288444.635452 
rand_479 -1.674020 -1.131275 0.000567 -1.628935 0.200163 5563747.847297 7146699703.837838 
rand_480 -1.666387 -1.150046 0.000824 -1.628961 0.185914 5267463.845640 7275178266.632204 
rand_481 -1.642065 -1.135231 0.006057 -1.628944 0.194510 4558053.939860 7490363061.366670 
rand_482 -1.680171 -1.111599 0.002246 -1.628912 0.189223 5314539.971923 6592551663.587316 
rand_483 -1.644152 -1.149107 0.001618 -1.628923 0.200408 5364664.281016 7351073039.033360 
rand_484 -1.665227 -1.112665 0.002169 -1.628929 0.188080 5475103.384265 7712795759.628222 
rand_485 -1.677354 -1.152872 0.012115 -1.628936 0.190508 5485130.845810 6933015856.392653 
rand_486 -1.681473 -1.134388 0.004515 -1.628954 0.188233 5470640.223639 8168063189.545218 
rand_487 -1.665176 -1.115541 0.003365 -1.628970 0.190833 3614499.837501 7899096075.823630 
rand_488 -1.652985 -1.117698 0.004204 -1.628923 0.189256 4521577.021979 6658099587.519561 
rand_489 -1.673530 -1.147440 0.000685 -1.628936 0.197005 4059585.965186 7171588821.009092 
rand_490 -1.668221 -1.141725 0.002603 -1.628924 0.196647 3422684.358515 6785427277.515115 
rand_491 -1.655792 -1.131607 0.005927 -1.628906 0.208157 3083182.250669 7198687703.382355 
rand_492 -1.593458 -1.095008 0.005370 -1.628959 0.184927 6440824.663994 7518965053.278859 
rand_493 -1.652470 -1.095885 0.008146 -1.629015 0.198081 4684308.270566 7856611798.866850 
rand_494 -1.650516 -1.107172 0.001871 -1.628916 0.192651 6517654.621588 6474381819.609953 
rand_495 -1.660028 -1.112369 0.006982 -1.628895 0.197892 6286498.064012 6463937511.446723 
rand_496 -1.611416 -1.157110 0.004368 -1.628935 0.193313 4294201.607000 7044628665.981523 
rand_497 -1.705373 -1.105584 0.002434 -1.628933 0.199206 5646971.758615 7019264597.189029 
rand_498 -1.685066 -1.151551 0.011512 -1.628942 0.203812 6155225.445996 6931330746.480607 
rand_499 -1.679207 -1.149549 0.002566 -1.628916 0.190827 4884294.387233 7295741901.953914 
