trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD vpl/dStopTime 
rand_191 -1.669208 -1.177254 0.001103 -1.628907 0.190215 3168075.307123 -0.146827 -3.235631 -1.310301 0.274750 7327638908.294188 
rand_192 -1.681719 -1.119116 0.010243 -1.628883 0.192700 5042434.132708 -0.162118 -2.939918 -1.996275 0.311203 7243991506.356848 
rand_193 -1.680779 -1.120322 0.007029 -1.628941 0.194334 5150020.500939 -0.177994 -3.514709 -1.297247 0.354164 8139899160.657199 
rand_194 -1.682505 -1.081832 0.004340 -1.628936 0.193192 5313111.152663 -0.103114 -2.826386 -2.105669 0.334832 6816632774.648301 
rand_195 -1.681376 -1.129539 0.004440 -1.628937 0.194942 5695331.689727 -0.180250 -2.630582 -1.459419 0.282956 6411140212.412185 
rand_196 -1.660044 -1.132919 0.006166 -1.628934 0.195486 5363815.309133 -0.287065 -2.656585 -1.694418 0.386998 7875452842.669975 
rand_197 -1.669101 -1.120999 0.001175 -1.628888 0.195343 3065772.255778 -0.170688 -3.118575 -1.539318 0.289371 8174195803.067706 
rand_198 -1.648489 -1.092245 0.010453 -1.628946 0.189503 6119804.905503 -0.191313 -2.348289 -1.539177 0.239259 7379299548.619641 
rand_199 -1.668183 -1.111760 0.006828 -1.628961 0.194558 3128165.173117 -0.059786 -2.887485 -1.452528 0.261502 7414948134.005922 
rand_200 -1.662729 -1.125840 0.006337 -1.628956 0.182096 5367151.944722 -0.124434 -2.972995 -1.948773 0.368776 7718234919.109044 
rand_201 -1.672985 -1.132052 0.001547 -1.628895 0.189845 5239361.231287 -0.093194 -3.742308 -1.481576 0.256679 7743915976.688735 
rand_202 -1.630288 -1.092594 0.004024 -1.628887 0.198596 3851505.018654 -0.358180 -3.393886 -1.928753 0.444547 7238824837.359691 
rand_203 -1.639436 -1.108192 0.004525 -1.628913 0.190902 4590969.644152 -0.163666 -3.191023 -1.812638 0.367983 6628627724.011850 
rand_204 -1.652049 -1.159278 0.004900 -1.628947 0.194527 4050896.483559 -0.174754 -2.681782 -1.940431 0.293708 6794251946.648524 
rand_205 -1.654735 -1.118323 0.001763 -1.628876 0.184623 3841107.095087 -0.113818 -2.830703 -1.679491 0.200315 7160033933.347192 
rand_206 -1.656612 -1.106926 0.009143 -1.628952 0.192880 5757539.589286 -0.030016 -3.523272 -2.014929 0.270682 7077848860.124496 
rand_207 -1.652169 -1.131559 0.004752 -1.628942 0.189389 3577056.323504 -0.162448 -3.124532 -1.771244 0.277497 7150287217.351359 
rand_208 -1.650472 -1.118024 0.001374 -1.628945 0.192530 3944762.899685 -0.242594 -2.811424 -1.221111 0.259851 7030271717.980727 
rand_209 -1.612829 -1.140842 0.001549 -1.628928 0.190523 5061023.075758 -0.106710 -2.974191 -1.635209 0.177182 6244908026.257700 
rand_210 -1.650250 -1.101277 0.002342 -1.628884 0.185867 5387544.379628 -0.165996 -2.931357 -1.751945 0.237266 7685179965.766411 
rand_211 -1.661345 -1.119168 0.006271 -1.628894 0.186051 3889280.013632 -0.109535 -2.331541 -2.125184 0.303686 7372735442.822620 
rand_212 -1.634847 -1.139585 0.011885 -1.628948 0.197740 6627932.196086 -0.105473 -2.840144 -1.547580 0.163145 6531652479.629428 
rand_213 -1.623064 -1.131156 0.000124 -1.628940 0.197368 6175732.839598 -0.183599 -2.858638 -1.297175 0.226557 7404533367.046698 
rand_214 -1.679886 -1.144459 0.003389 -1.628906 0.189099 3253292.232745 -0.158399 -3.500243 -1.180518 0.226773 6944077138.385695 
rand_215 -1.694372 -1.150176 0.010647 -1.628955 0.192505 5645401.289785 -0.140990 -2.589430 -1.443143 0.240668 6501351197.574547 
rand_216 -1.661136 -1.156645 0.004673 -1.628963 0.193785 6284062.375682 -0.165551 -3.627957 -1.478455 0.332587 7171914675.287134 
rand_217 -1.699132 -1.098336 0.006225 -1.628939 0.199494 3006441.314058 -0.222616 -3.199928 -1.511312 0.311046 8288902245.458942 
rand_218 -1.639537 -1.113790 0.002749 -1.628961 0.197353 4663246.712670 -0.023385 -3.148396 -1.721180 0.257969 6844021586.388152 
rand_219 -1.667182 -1.103965 0.001048 -1.628919 0.190901 5329845.591509 -0.135951 -3.197817 -1.829120 0.302348 6395867212.062208 
rand_220 -1.652720 -1.132975 0.002142 -1.628904 0.192669 4772467.772956 -0.180412 -2.926168 -1.009962 0.301044 6665124468.285979 
rand_221 -1.659962 -1.151738 0.000578 -1.628945 0.192647 4302725.331681 -0.004890 -2.570689 -1.633869 0.193743 7260859656.317850 
rand_222 -1.670848 -1.111683 0.003157 -1.628927 0.204576 4026168.005475 -0.066568 -2.848691 -1.567534 0.190406 7632258470.464482 
rand_223 -1.652060 -1.180043 0.006733 -1.628932 0.184105 5134196.265418 -0.169232 -3.146490 -1.219588 0.328988 7060047561.735933 
rand_224 -1.697936 -1.139250 0.003675 -1.628901 0.196187 5055550.184158 -0.079886 -2.377653 -2.085464 0.321485 7382444667.118690 
rand_225 -1.666937 -1.114722 0.006640 -1.628946 0.194035 5635980.072031 -0.045204 -2.781897 -1.668303 0.278551 7031115174.957456 
rand_226 -1.659917 -1.175155 0.001131 -1.628969 0.197513 5223051.309655 -0.168469 -2.357427 -1.113926 0.169336 7107136306.890869 
rand_227 -1.701365 -1.117296 0.006139 -1.628892 0.187103 5948454.111482 -0.218539 -3.288094 -2.175808 0.385742 6808382913.585243 
rand_228 -1.676013 -1.135659 0.001163 -1.628950 0.194292 6680630.165682 -0.115585 -2.876811 -1.945578 0.235465 6501064523.658873 
rand_229 -1.657518 -1.121325 0.006720 -1.628907 0.197895 6845596.164203 -0.078819 -2.442468 -2.296324 0.239969 7037745300.833774 
rand_230 -1.683639 -1.135082 0.004160 -1.628918 0.192706 4574115.765282 -0.096509 -2.951054 -1.708423 0.253452 6596384411.666836 
rand_231 -1.620600 -1.169164 0.009851 -1.628909 0.194139 2785435.044794 -0.278299 -3.266408 -1.298548 0.206006 7922228123.586408 
rand_232 -1.663389 -1.107070 0.009510 -1.628934 0.193931 6156027.307835 -0.222337 -2.627347 -1.458401 0.331093 7435103398.661799 
rand_233 -1.670026 -1.144581 0.003299 -1.628912 0.188755 4394150.370603 -0.192405 -2.989724 -1.945179 0.315841 7048385459.961321 
rand_234 -1.634869 -1.128397 0.007450 -1.628916 0.194056 5503195.771021 -0.217402 -2.690959 -1.625926 0.358532 7437457973.358366 
rand_235 -1.622429 -1.106466 0.008270 -1.628952 0.196579 6750787.818587 -0.105563 -2.883626 -2.062123 0.322164 7366632895.190883 
rand_236 -1.610688 -1.107098 0.010391 -1.628903 0.198210 4227198.613227 -0.183981 -3.290610 -1.231818 0.198948 7041532536.045311 
rand_237 -1.657415 -1.156571 0.002144 -1.628893 0.197925 5562271.814472 -0.055609 -3.298782 -1.833457 0.245568 6480926492.709503 
rand_238 -1.668347 -1.091477 0.007034 -1.628974 0.199237 5630339.837807 -0.258480 -2.812986 -1.555985 0.370145 7850137101.109244 
rand_239 -1.647301 -1.155691 0.001989 -1.628927 0.190584 5411696.306559 -0.171081 -2.872439 -1.929647 0.305994 6864635240.527090 
rand_240 -1.617464 -1.107881 0.002032 -1.628937 0.203127 6677435.160518 -0.135935 -3.079615 -1.435439 0.286344 6918490227.887053 
rand_241 -1.655295 -1.115334 0.001970 -1.628888 0.203515 5853026.320011 -0.099581 -3.043652 -1.083416 0.271805 6923962944.588631 
rand_242 -1.636417 -1.101105 0.002762 -1.628937 0.188686 4880270.907682 -0.123600 -2.691317 -1.312195 0.188954 6873047192.454413 
rand_243 -1.631846 -1.099460 0.001327 -1.628910 0.192771 6103258.756617 -0.173801 -2.658946 -1.341671 0.301608 7264753628.019198 
rand_244 -1.645335 -1.165373 0.010193 -1.628942 0.192877 5035054.291267 -0.134987 -3.147545 -1.572901 0.314533 7686562538.828708 
rand_245 -1.624060 -1.133895 0.001313 -1.628951 0.192617 4295340.045242 -0.015759 -2.881501 -1.656610 0.149886 7646210237.103337 
rand_246 -1.661001 -1.127535 0.007519 -1.628877 0.191175 4059070.827782 -0.159910 -2.853269 -1.661233 0.374620 6943301933.911359 
rand_247 -1.679548 -1.135875 0.002387 -1.628962 0.195472 6657848.491016 -0.125889 -2.756129 -1.869837 0.251531 7040237344.873764 
rand_248 -1.663940 -1.155695 0.010485 -1.628938 0.187139 6234176.494201 0.023343 -2.743420 -1.961052 0.234150 7355193592.891310 
rand_249 -1.678524 -1.107934 0.007976 -1.628915 0.196064 7125575.875049 -0.241907 -2.994327 -1.327301 0.281749 7101173791.742527 
rand_250 -1.668789 -1.140881 0.003735 -1.628931 0.192669 4567419.671416 -0.178557 -2.674678 -1.321262 0.365469 6984300251.282380 
rand_251 -1.694031 -1.130641 0.006336 -1.628971 0.197153 7161059.531849 -0.172217 -3.137820 -1.083095 0.224135 9924958353.687010 
rand_252 -1.705260 -1.154847 0.002358 -1.629001 0.199746 6403714.291961 -0.139170 -3.180342 -1.466577 0.318729 6919214322.902865 
rand_253 -1.699185 -1.130502 0.001120 -1.628950 0.187972 4975160.006506 -0.110776 -2.565851 -1.800054 0.287202 6953663074.842444 
rand_254 -1.702288 -1.148230 0.009441 -1.628890 0.192532 4240799.650167 -0.066944 -2.613116 -1.775852 0.314833 6882545098.605932 
rand_255 -1.682481 -1.122638 0.004325 -1.628931 0.196147 6651524.514161 -0.101670 -2.848577 -2.176792 0.225191 6471254318.203006 
rand_256 -1.673877 -1.105532 0.004724 -1.628947 0.188838 4260353.121308 -0.085494 -2.685366 -1.562256 0.185060 6865185587.881387 
rand_257 -1.641048 -1.130855 0.001221 -1.628926 0.192287 3937769.051113 -0.098419 -2.928850 -1.838756 0.230329 6346616898.779315 
rand_258 -1.650554 -1.108322 0.002926 -1.628871 0.196318 3938143.809803 -0.123718 -2.862090 -1.297539 0.203122 8083912421.638216 
rand_259 -1.661641 -1.098982 0.002508 -1.628917 0.203875 4759655.293704 -0.135254 -2.309473 -1.521000 0.227608 6921606083.731892 
rand_260 -1.633268 -1.116054 0.001767 -1.628935 0.196064 3627474.810174 -0.183899 -3.321836 -1.497309 0.397090 7193303038.292870 
rand_261 -1.632870 -1.117808 0.004097 -1.628930 0.198089 5545941.008305 -0.171730 -2.714283 -1.243560 0.227493 7652544205.352457 
rand_262 -1.666627 -1.100665 0.000784 -1.628900 0.193627 5957046.590350 -0.171746 -2.805881 -1.820358 0.357085 6421489267.939756 
rand_263 -1.666323 -1.114727 0.002527 -1.628968 0.189676 5672407.959123 -0.146458 -2.520377 -2.012096 0.330804 6693447057.017040 
rand_264 -1.647585 -1.111945 0.004112 -1.628945 0.185133 4961804.939929 -0.170907 -2.927121 -1.536926 0.212620 7270512684.955508 
rand_265 -1.657590 -1.151014 0.006209 -1.628929 0.198200 5154619.329983 -0.100238 -2.766730 -1.366537 0.301231 6679419920.139584 
rand_266 -1.690556 -1.129663 0.003502 -1.628938 0.193119 5949640.628201 -0.162048 -2.539299 -1.755984 0.377386 7028021386.229628 
rand_267 -1.672399 -1.150493 0.006795 -1.628915 0.191696 5548706.980119 -0.032433 -3.302351 -2.064945 0.174539 7347228695.577065 
rand_268 -1.675214 -1.133511 0.000365 -1.628901 0.190019 4907504.676610 -0.139228 -3.661052 -2.040949 0.358478 8031987678.299423 
rand_269 -1.634053 -1.106810 0.008290 -1.628900 0.192095 4526273.393729 -0.286258 -2.764540 -1.703105 0.324712 7566489785.784174 
rand_270 -1.687813 -1.113752 0.006301 -1.628915 0.200671 4294450.384345 -0.112410 -2.986208 -1.560877 0.276482 7136227866.153438 
rand_271 -1.690301 -1.160341 0.002505 -1.628962 0.199163 5503318.174058 -0.126375 -2.858279 -1.510951 0.226477 7187855114.502612 
rand_272 -1.635510 -1.139112 0.002241 -1.628953 0.193258 5300217.034381 -0.109398 -2.808559 -1.780207 0.275951 6834385446.904764 
rand_273 -1.642869 -1.141853 0.006739 -1.628912 0.200734 5208760.059211 -0.130740 -2.422531 -1.586748 0.227260 6262391246.421203 
rand_274 -1.684162 -1.144402 0.002294 -1.628941 0.191780 5110566.030601 -0.287480 -2.288221 -1.624983 0.339555 6857046267.729294 
rand_275 -1.666244 -1.156818 0.001903 -1.628922 0.198708 6233092.343073 -0.142615 -3.179580 -1.387596 0.302359 7093070619.883675 
rand_276 -1.697948 -1.104535 0.010681 -1.628952 0.198912 4516016.591951 -0.272778 -2.571483 -1.207359 0.294866 6559629696.328750 
rand_277 -1.678804 -1.135625 0.001079 -1.628910 0.191033 5676707.711444 -0.127284 -3.022125 -1.716237 0.309574 6898999823.016221 
rand_278 -1.676076 -1.122543 0.000355 -1.628960 0.182648 4953965.986354 -0.167562 -3.352462 -2.083187 0.394409 7619116262.516826 
rand_279 -1.632922 -1.164742 0.000084 -1.628864 0.191906 5453426.852925 -0.166344 -2.511934 -1.445902 0.278025 7439813493.075537 
rand_280 -1.638646 -1.147440 0.006903 -1.628964 0.196423 4911013.534422 -0.178362 -2.938288 -1.741944 0.295936 7173940365.160215 
rand_281 -1.678383 -1.146924 0.002048 -1.628895 0.196137 5766735.063146 -0.181959 -3.110455 -1.806932 0.307204 7156689820.970293 
rand_282 -1.638483 -1.134781 0.005405 -1.628902 0.185673 5260478.767784 -0.202303 -3.058942 -1.801696 0.352897 6681123200.076835 
rand_283 -1.656466 -1.131185 0.008463 -1.628906 0.195718 5379743.093923 -0.365412 -2.622835 -1.260199 0.331345 7925733926.755593 
rand_284 -1.692931 -1.155229 0.000333 -1.628954 0.188458 4345275.173203 -0.060339 -2.851399 -2.210591 0.270022 7137705616.038236 
rand_285 -1.698707 -1.146967 0.007520 -1.628938 0.198886 5048206.663227 -0.141734 -2.631240 -1.906924 0.302348 6872309929.706308 
rand_286 -1.671091 -1.116340 0.003258 -1.628912 0.193593 3581213.701248 -0.189913 -3.065053 -2.076628 0.326558 7240134837.527492 
rand_287 -1.655172 -1.142018 0.015269 -1.628949 0.200513 4180108.610466 -0.137019 -3.027394 -1.714235 0.269111 7493775974.234368 
rand_288 -1.650016 -1.118735 0.001393 -1.628937 0.193736 6848583.314001 -0.126684 -2.991968 -1.617762 0.299977 6761388397.346000 
rand_289 -1.666394 -1.143662 0.000286 -1.628953 0.194303 3832307.607760 -0.119173 -3.314660 -1.928948 0.347716 7313602624.674161 
rand_290 -1.671203 -1.101245 0.004078 -1.628898 0.187423 6290760.801094 -0.224489 -2.752750 -1.968499 0.296295 7548601861.748132 
rand_291 -1.632954 -1.116802 0.006956 -1.628980 0.195266 6096335.017233 -0.120555 -2.954527 -1.325035 0.091145 6860752104.195340 
rand_292 -1.696161 -1.123949 0.001924 -1.628897 0.200400 5852767.068280 -0.161362 -2.902896 -2.665594 0.409752 7155418107.541401 
rand_293 -1.718494 -1.133865 0.007294 -1.628890 0.203631 4449033.484201 -0.268637 -3.235963 -1.223034 0.330105 6894525201.911661 
rand_294 -1.641237 -1.131925 0.000917 -1.628927 0.198914 3753558.372229 -0.134541 -3.154750 -1.754531 0.291047 7666623458.681705 
rand_295 -1.624774 -1.131707 0.003512 -1.628977 0.193036 5262349.894339 -0.206308 -2.587729 -1.562736 0.287557 8016717575.835253 
rand_296 -1.703743 -1.124237 0.007223 -1.628897 0.189371 4964108.972726 -0.291003 -3.072101 -1.216673 0.357379 7169657459.588860 
rand_297 -1.675903 -1.120621 0.002474 -1.628905 0.191563 4614338.151617 -0.088045 -2.692915 -1.349166 0.267793 6877366543.219258 
rand_298 -1.673325 -1.100160 0.000888 -1.628926 0.196176 5546320.088988 -0.143466 -2.704067 -1.756987 0.206763 6604451530.123438 
rand_299 -1.652607 -1.117236 0.000949 -1.628884 0.188093 5634979.424894 -0.259159 -3.413233 -1.144998 0.323583 7212412935.425683 
rand_300 -1.678239 -1.129550 0.002747 -1.628927 0.197792 4550018.494036 -0.173794 -2.888384 -1.722532 0.314812 7506440404.126390 
rand_301 -1.671068 -1.143014 0.008424 -1.628943 0.196701 5793220.069933 -0.111938 -3.197377 -1.243151 0.184429 7012859957.072403 
rand_302 -1.670595 -1.138286 0.003898 -1.628906 0.187561 5290646.863971 -0.192428 -3.200160 -1.599067 0.291522 7283525863.948912 
rand_303 -1.677107 -1.164063 0.001733 -1.628897 0.196861 3434627.604166 -0.053775 -3.148003 -1.381062 0.166553 7248906575.016148 
rand_304 -1.640883 -1.104950 0.009119 -1.628941 0.197994 5064241.089739 -0.108766 -2.646898 -1.711224 0.257392 7309618985.748821 
rand_305 -1.660056 -1.132048 0.002358 -1.629003 0.200610 4811897.225163 -0.199021 -3.289661 -1.461376 0.389455 7448448196.302516 
rand_306 -1.701337 -1.153427 0.005841 -1.628952 0.194068 6010282.550795 -0.201658 -2.688988 -1.342729 0.157590 7252227904.390731 
rand_307 -1.647566 -1.121733 0.002044 -1.628919 0.191250 4074348.930614 -0.162221 -3.316849 -1.667607 0.361201 6586932690.524923 
rand_308 -1.676163 -1.133835 0.002448 -1.628919 0.190701 4291213.269639 -0.127228 -2.903360 -1.564785 0.231969 6772294343.609311 
rand_309 -1.685054 -1.123134 0.009684 -1.628915 0.194710 5392536.189687 -0.213921 -3.332726 -2.050504 0.395902 6928563349.059250 
rand_310 -1.670329 -1.168367 0.002896 -1.628903 0.185766 5934137.541184 -0.296328 -2.703684 -1.452182 0.239812 7301082521.357801 
rand_311 -1.676645 -1.146689 0.004968 -1.628933 0.196849 5636413.835192 -0.100642 -2.625373 -1.505132 0.299875 7293904959.888120 
rand_312 -1.647640 -1.106452 0.001220 -1.628937 0.195532 6607951.096023 -0.157452 -3.504954 -0.979070 0.194862 7285446506.418638 
rand_313 -1.635060 -1.137696 0.006063 -1.628980 0.187830 5930253.560413 -0.052447 -3.069897 -2.216054 0.334260 6880776676.132887 
rand_314 -1.668559 -1.114190 0.004691 -1.628920 0.199508 5215521.081014 -0.171575 -2.994328 -1.818549 0.357085 7104338463.109488 
rand_315 -1.675717 -1.134789 0.007872 -1.628956 0.196979 5290397.612635 -0.168395 -2.844888 -1.404220 0.253080 7650832785.165221 
rand_316 -1.689239 -1.132700 0.006827 -1.628936 0.191941 4462113.444674 -0.165701 -2.935725 -1.939679 0.353858 6820460402.772602 
rand_317 -1.653530 -1.143247 0.007935 -1.628929 0.185470 3344534.478991 -0.273685 -3.318661 -1.473760 0.444547 7195562072.096702 
rand_318 -1.647298 -1.107272 0.008297 -1.628943 0.199750 6783975.105819 -0.252205 -2.931970 -1.667655 0.281836 7855978273.253320 
rand_319 -1.691255 -1.147854 0.002970 -1.628923 0.183657 5920517.425874 -0.099377 -3.296482 -1.836706 0.403564 7122681634.979739 
rand_320 -1.646462 -1.178810 0.001629 -1.628884 0.194298 3302833.892985 -0.104736 -2.829520 -1.474875 0.168608 7604072714.932380 
rand_321 -1.647716 -1.140053 0.006355 -1.628920 0.197020 5962875.539329 -0.159668 -2.916291 -0.960921 0.126120 6873423550.752413 
rand_322 -1.701492 -1.138563 0.001678 -1.628935 0.199400 6609799.240520 -0.128788 -2.738329 -1.169785 0.162096 7205505608.416284 
rand_323 -1.649686 -1.128852 0.002142 -1.628928 0.196273 4257817.960536 -0.125462 -3.244970 -1.909886 0.285314 6950469085.988972 
rand_324 -1.653772 -1.143863 0.007113 -1.628972 0.192509 4652146.407981 -0.155057 -3.464376 -1.582262 0.280275 7173072638.514930 
rand_325 -1.651612 -1.107625 0.009307 -1.628912 0.207577 5892141.134686 -0.189211 -2.988377 -1.282196 0.251666 6750655988.687981 
rand_326 -1.629121 -1.115676 0.001755 -1.628928 0.198440 6644779.355535 -0.086795 -2.766636 -1.975930 0.301577 6857164559.600656 
rand_327 -1.618677 -1.129873 0.005321 -1.628913 0.194338 5120206.823195 -0.223190 -3.650891 -2.058323 0.453986 7087021206.558155 
rand_328 -1.668075 -1.128350 0.003064 -1.628900 0.189397 6829444.170166 -0.103534 -2.902172 -2.015569 0.365026 7037747488.836629 
rand_329 -1.646652 -1.127320 0.002422 -1.628912 0.203022 4822730.971500 -0.252780 -2.894083 -1.483676 0.258195 6981116595.403351 
rand_330 -1.667436 -1.074934 0.013178 -1.628917 0.190137 3186789.178363 -0.135341 -3.182641 -1.882753 0.273557 6231842954.025931 
rand_331 -1.687403 -1.135332 0.007809 -1.628902 0.190030 4757506.778326 -0.225259 -3.112405 -1.894886 0.316792 7218142591.349779 
rand_332 -1.660562 -1.120235 0.005432 -1.628958 0.195574 5865396.415298 -0.078878 -2.584458 -1.675741 0.275306 7065484978.023898 
rand_333 -1.679664 -1.143013 0.002044 -1.628924 0.188839 6114551.569556 -0.196900 -3.590849 -1.489479 0.356650 6601287815.663074 
rand_334 -1.670177 -1.125935 0.010725 -1.628939 0.202039 4588818.820998 -0.123676 -2.720295 -1.532396 0.251452 7451630917.176880 
rand_335 -1.691942 -1.103755 0.008009 -1.628927 0.188269 3616716.688275 -0.053420 -3.242740 -2.171898 0.344671 7332523336.771079 
rand_336 -1.664882 -1.115980 0.002241 -1.628916 0.198250 3889580.540681 -0.180133 -2.421899 -1.723602 0.313667 6895406453.086865 
rand_337 -1.659157 -1.085797 0.000308 -1.628944 0.188788 5789742.720416 -0.315588 -3.515886 -1.577352 0.358118 7551684556.157658 
rand_338 -1.649845 -1.116670 0.005926 -1.628950 0.192433 3917006.457896 -0.154634 -3.223876 -1.684771 0.217523 7577548299.891413 
rand_339 -1.645522 -1.120330 0.005744 -1.628895 0.206257 5318461.816215 -0.161379 -3.126320 -1.136509 0.160610 7431740352.792624 
rand_340 -1.660585 -1.130561 0.003365 -1.628933 0.201607 5444190.447870 -0.152824 -3.103448 -1.566219 0.362491 7574588077.398793 
rand_341 -1.719054 -1.139050 0.008293 -1.628917 0.188775 3594493.444663 -0.116445 -2.780866 -1.294887 0.203819 7856731671.890459 
rand_342 -1.645637 -1.107053 0.007792 -1.628916 0.190795 6061894.510962 -0.048569 -2.880361 -1.931855 0.258944 7203043744.439832 
rand_343 -1.633359 -1.133769 0.005112 -1.628900 0.199077 5070732.829185 -0.156664 -2.698026 -2.130087 0.323561 6740226472.947080 
rand_344 -1.656664 -1.136958 0.001328 -1.628934 0.191895 3340557.839249 -0.081005 -3.099342 -1.336074 0.162294 6499448315.561467 
rand_345 -1.639637 -1.118041 0.007910 -1.628905 0.184890 4849668.855782 -0.041552 -2.403168 -2.071286 0.290760 7107933286.720164 
rand_346 -1.629796 -1.139445 0.007942 -1.628945 0.197612 4102238.499715 -0.132240 -3.085681 -1.961468 0.276030 7255609441.891983 
rand_347 -1.652017 -1.122588 0.003612 -1.628930 0.192914 6083879.971933 -0.061245 -2.815904 -2.063872 0.336068 7341453751.636246 
rand_348 -1.674095 -1.080518 0.003412 -1.628911 0.197606 5359058.556194 -0.136671 -2.902067 -2.219852 0.397309 6886414047.415036 
rand_349 -1.674108 -1.126052 0.007420 -1.628932 0.200156 3759215.803900 -0.086060 -3.337548 -1.743194 0.334104 6957700464.603024 
rand_350 -1.661208 -1.189576 0.007227 -1.628952 0.199511 4437892.666318 -0.098028 -2.882181 -2.104103 0.277348 7354188041.338885 
rand_351 -1.661257 -1.105348 0.005362 -1.628920 0.198635 2970573.636215 -0.115269 -2.886796 -1.199165 0.108434 7523470684.566854 
rand_352 -1.671715 -1.137015 0.005018 -1.628976 0.194636 7378823.486670 -0.105773 -2.518191 -2.245669 0.322139 7371913830.527708 
rand_353 -1.623656 -1.139923 0.008267 -1.628978 0.196645 4046440.730822 -0.149209 -2.845661 -1.517299 0.274662 6876087777.216561 
rand_354 -1.719059 -1.145225 0.003288 -1.628883 0.194927 4574162.971932 -0.037981 -3.100142 -1.127520 0.103872 6648020978.930610 
rand_355 -1.692476 -1.117007 0.001259 -1.628935 0.194629 4159907.153127 -0.137541 -2.831481 -1.183416 0.223102 6731932233.578767 
rand_356 -1.715594 -1.148309 0.002672 -1.628879 0.193224 5947127.270716 -0.071444 -2.916020 -2.111275 0.360785 6873564617.859576 
rand_357 -1.658427 -1.129398 0.001217 -1.628943 0.191467 3652605.388580 -0.217407 -3.176955 -1.261327 0.285058 7365161215.888672 
rand_358 -1.641501 -1.092169 0.002605 -1.628923 0.195399 5104522.389883 -0.183821 -3.514345 -1.618652 0.329055 6561994108.542220 
rand_359 -1.642896 -1.138270 0.000124 -1.628920 0.197767 4603283.771687 -0.082490 -2.528225 -1.736535 0.315220 6824169966.804301 
rand_360 -1.660586 -1.141815 0.005643 -1.628891 0.187993 6635670.218829 -0.224529 -3.470784 -0.928088 0.234491 6967395413.467996 
rand_361 -1.652179 -1.135656 0.001814 -1.628936 0.188324 3434724.906706 -0.130204 -3.080482 -1.093898 0.220785 6969239275.205118 
rand_362 -1.654899 -1.161092 0.001453 -1.628939 0.194107 6490997.137666 -0.041892 -2.607131 -1.470186 0.251634 7840185233.132860 
rand_363 -1.667589 -1.124098 0.006016 -1.628926 0.194364 4830673.776803 -0.212449 -3.386718 -1.666360 0.216040 6303673345.813128 
rand_364 -1.665652 -1.107067 0.010720 -1.628936 0.190737 3819305.567431 -0.236377 -2.710141 -1.562277 0.299435 6621132581.906218 
rand_365 -1.657383 -1.142955 0.005861 -1.628952 0.203393 4495166.200791 -0.128118 -3.070589 -1.354097 0.290321 7062877966.286997 
rand_366 -1.684972 -1.151072 0.000900 -1.628899 0.196463 5693583.898139 -0.126652 -3.073677 -1.633659 0.308953 7414114319.601732 
rand_367 -1.655090 -1.128818 0.002111 -1.628926 0.185683 3770395.623631 -0.110314 -2.943979 -1.684210 0.311526 6994769013.196671 
rand_368 -1.682380 -1.134053 0.002233 -1.628925 0.191450 5610672.393513 -0.133936 -2.729825 -1.374967 0.201436 6539660450.706676 
rand_369 -1.680169 -1.138560 0.012010 -1.628929 0.193224 4501260.294960 -0.220050 -2.841769 -1.475049 0.267848 7533911680.663568 
rand_370 -1.665325 -1.114523 0.010447 -1.628912 0.199264 4583878.718954 -0.133362 -3.072904 -1.275925 0.171211 6468542164.024327 
rand_371 -1.660697 -1.125413 0.003829 -1.628922 0.193165 2533470.484554 0.053482 -3.022975 -1.869287 0.222283 6655262156.069638 
rand_372 -1.662719 -1.145282 0.006091 -1.628877 0.189542 4872011.966209 -0.122069 -2.378276 -2.019162 0.281451 7004558990.073601 
rand_373 -1.611935 -1.114306 0.000811 -1.628967 0.193336 4567897.269544 -0.055606 -3.216248 -1.974637 0.274323 7211350891.330443 
rand_374 -1.671634 -1.148425 0.001373 -1.628939 0.198397 3949680.184532 -0.145934 -2.838630 -1.624373 0.305554 7411374109.153769 
rand_375 -1.682142 -1.125204 0.009102 -1.628945 0.196632 4643611.350237 -0.242513 -2.339317 -2.124295 0.328930 6131078332.658896 
rand_376 -1.664039 -1.088132 0.005080 -1.628922 0.195717 3932986.629527 -0.127114 -2.876094 -1.953985 0.365874 6677268687.191615 
rand_377 -1.670183 -1.137309 0.004390 -1.628904 0.193940 5692797.857469 -0.226642 -3.119231 -1.894071 0.305605 8203361678.424711 
rand_378 -1.658967 -1.097964 0.012029 -1.628899 0.191196 5292254.617270 -0.199022 -2.218916 -2.065642 0.313819 7070343846.687600 
rand_379 -1.638354 -1.113251 0.000839 -1.628964 0.192276 3840568.031926 -0.218901 -2.723625 -1.418056 0.294234 6803711319.135886 
rand_380 -1.707597 -1.171129 0.003055 -1.628920 0.185236 4240464.678698 -0.200728 -3.061152 -2.543536 0.350944 7050147205.830539 
rand_381 -1.672230 -1.130381 0.006309 -1.628926 0.198308 3828877.618406 -0.103152 -2.944696 -1.225990 0.141844 7682158118.261991 
rand_382 -1.637717 -1.156079 0.010872 -1.628874 0.194370 3395005.717837 -0.368722 -2.970075 -1.587736 0.319942 7215217165.138820 
rand_383 -1.670411 -1.108896 0.002333 -1.628897 0.192182 2677442.703124 -0.231888 -2.682228 -2.614596 0.407082 7218037984.430045 
