trial star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD 
rand_478 -0.129908 -3.222520 -1.342837 0.241223 
rand_479 -0.089592 -2.898757 -1.788487 0.274044 
rand_480 0.016228 -2.798143 -2.047708 0.240608 
rand_481 -0.113859 -2.954013 -1.937924 0.375541 
rand_482 -0.165828 -2.952332 -1.469755 0.285686 
rand_483 -0.188780 -2.650128 -1.790560 0.360691 
rand_484 -0.184594 -2.704828 -1.556837 0.266319 
rand_485 -0.297785 -2.334431 -1.477299 0.349579 
rand_486 -0.269107 -3.051731 -1.327329 0.354643 
rand_487 -0.122921 -3.089619 -1.810228 0.224506 
rand_488 -0.138446 -2.733176 -1.837696 0.332462 
rand_489 -0.165887 -2.840643 -1.865864 0.296767 
rand_490 -0.065737 -2.982028 -1.152993 0.205339 
rand_491 -0.043859 -2.562230 -1.334198 0.187031 
rand_492 -0.138123 -2.739058 -1.903800 0.341044 
rand_493 -0.111950 -2.937927 -1.572841 0.327201 
rand_494 -0.174717 -3.021921 -1.418496 0.315525 
rand_495 -0.173622 -2.954449 -1.355913 0.227645 
rand_496 -0.158160 -2.734035 -1.657355 0.308819 
rand_497 -0.122074 -2.598488 -2.011969 0.322905 
rand_498 -0.115497 -2.875501 -1.570207 0.397188 
rand_499 -0.115444 -2.374540 -2.321314 0.377012 
