trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dSatXUVFrac star/dSatXUVTime star/dXUVBeta vpl/dStopTime 
rand_233 -1.681884 -1.131661 0.006731 -1.628851 0.191915 0.000614 926478416.436761 1.331758 6773396705.601263 
rand_234 -1.621214 -1.091045 0.002205 -1.628955 0.193734 0.001013 929761283.743187 1.321771 6766094296.486262 
rand_235 -1.674661 -1.134928 0.006809 -1.628937 0.187998 0.003271 335835410.232965 1.271341 6400725807.057055 
rand_236 -1.628296 -1.113779 0.008759 -1.628948 0.190875 0.001921 533722937.491586 1.523952 5869363929.073380 
rand_237 -1.663860 -1.084189 0.007570 -1.628934 0.191201 0.001555 322873886.206737 1.193202 7082260987.421422 
rand_238 -1.696075 -1.166981 0.011514 -1.628924 0.196670 0.000568 1749774142.753154 1.421055 7625191386.457350 
rand_239 -1.686149 -1.135591 0.007031 -1.628950 0.194990 0.000515 312128046.324078 0.779084 6765640193.908425 
rand_240 -1.655950 -1.129963 0.000841 -1.628938 0.187472 0.000955 292181444.326289 0.754836 6614535549.490245 
rand_241 -1.636246 -1.165978 0.008159 -1.628929 0.194109 0.000734 984269326.283471 1.215307 6193296587.399698 
rand_242 -1.619295 -1.139119 0.000608 -1.628918 0.190997 0.000708 1910793698.066190 1.703130 8406898527.200978 
rand_243 -1.657051 -1.149428 0.003394 -1.628891 0.191230 0.000677 1059598197.947407 1.236602 5593089519.418613 
rand_244 -1.687077 -1.112846 0.006482 -1.628931 0.193236 0.001135 1441307212.792849 1.467934 7599823137.227287 
rand_245 -1.653595 -1.164653 0.004901 -1.628946 0.195178 0.002245 532556768.926167 1.430306 7080015306.207938 
rand_246 -1.678980 -1.092214 0.008621 -1.628912 0.196117 0.000655 1177620949.244335 1.432584 9419935221.264338 
rand_247 -1.650980 -1.116202 0.013308 -1.628920 0.188405 0.000565 1346048308.034268 1.437251 6586455013.865653 
rand_248 -1.681654 -1.151076 0.009804 -1.628936 0.198628 0.001235 554971862.876839 1.234706 7056772514.365436 
rand_249 -1.708060 -1.109472 0.001702 -1.628918 0.192498 0.001183 603888271.629972 1.414415 6618667620.217029 
rand_250 -1.629712 -1.118060 0.004358 -1.628941 0.189353 0.001317 517307636.553464 1.173843 8186432105.063460 
rand_251 -1.665208 -1.130775 0.001146 -1.628945 0.193367 0.000325 972899231.732922 1.020574 6332691176.578601 
rand_252 -1.658858 -1.144429 0.002743 -1.628982 0.193289 0.001135 956357616.627593 1.556346 7205701010.983281 
rand_253 -1.637076 -1.119047 0.006251 -1.628940 0.190826 0.000620 834387595.077781 1.086821 6797475335.483147 
rand_254 -1.616787 -1.127542 0.005703 -1.628979 0.191191 0.000417 1762418242.047750 1.556183 6955587071.390204 
rand_255 -1.643438 -1.143785 0.004074 -1.628948 0.196832 0.002003 838300123.166628 1.714613 6902683873.190800 
rand_256 -1.657631 -1.156865 0.003663 -1.628915 0.191861 0.001699 1389810568.984199 1.674721 8249245856.842375 
rand_257 -1.649354 -1.147012 0.002132 -1.628972 0.189359 0.001102 1533429076.338139 1.490231 8828853205.779354 
rand_258 -1.666780 -1.140066 0.008841 -1.628936 0.197804 0.000627 1019813710.953083 0.905491 7964056399.017756 
rand_259 -1.659169 -1.106750 0.009908 -1.628929 0.198093 0.000391 2527061402.238913 1.329376 8518013352.516597 
rand_260 -1.656668 -1.112785 0.007252 -1.628937 0.198291 0.001445 613578836.277550 1.536134 6081472922.259658 
rand_261 -1.678092 -1.139001 0.005514 -1.628944 0.194450 0.000999 736566482.297323 1.203052 8162860412.395025 
rand_262 -1.659513 -1.138224 0.001974 -1.628922 0.190363 0.000537 1589915005.554547 1.511886 7406097977.909509 
rand_263 -1.651557 -1.110173 0.003877 -1.628918 0.201273 0.001188 806915154.000844 1.133768 7875395629.953222 
rand_264 -1.648109 -1.124653 0.004078 -1.628931 0.196084 0.000625 1393727946.873684 1.352002 6853220137.113449 
rand_265 -1.649942 -1.124932 0.003381 -1.628942 0.192811 0.001427 913862725.875689 1.574437 6702934428.718481 
rand_266 -1.690798 -1.144068 0.003146 -1.628908 0.194570 0.000586 1506852079.081739 1.373865 8185985521.699939 
rand_267 -1.631727 -1.132468 0.007521 -1.628966 0.191342 0.002723 602416953.483094 1.639654 7059810557.406604 
rand_268 -1.633636 -1.129915 0.001002 -1.628912 0.186289 0.000840 578610064.863886 1.237213 7154257952.803344 
rand_269 -1.662211 -1.131824 0.007848 -1.628920 0.188231 0.000637 1102933090.191154 1.283799 6761963487.052267 
rand_270 -1.649523 -1.115319 0.007037 -1.628926 0.188211 0.000599 553116295.748344 1.060479 7050807512.330518 
rand_271 -1.664981 -1.114693 0.003528 -1.628931 0.193417 0.001497 234740315.233758 1.110115 7050150614.810329 
rand_272 -1.642705 -1.148379 0.001492 -1.628982 0.187580 0.001581 1033205668.612139 1.907307 5999187550.967464 
rand_273 -1.678728 -1.140004 0.003252 -1.628894 0.194216 0.000324 2900878710.951334 1.392199 8187770491.019667 
rand_274 -1.629123 -1.143747 0.005572 -1.628908 0.200541 0.000479 3541414682.250726 1.355584 8362578969.668995 
rand_275 -1.643849 -1.102229 0.004947 -1.628957 0.190580 0.000465 2619117967.972207 1.241330 7604885308.338863 
rand_276 -1.643315 -1.084930 0.010097 -1.628911 0.190827 0.001257 351940094.427564 1.114127 7712918573.023623 
rand_277 -1.662416 -1.139272 0.005738 -1.628926 0.194919 0.001259 459756859.914692 1.059285 6817866528.139211 
rand_278 -1.692490 -1.133342 0.002187 -1.628947 0.192927 0.000938 251724451.787785 0.941094 7855172112.575270 
rand_279 -1.639670 -1.113154 0.004608 -1.628899 0.190516 0.002089 661886496.614649 1.551039 6952414267.151686 
rand_280 -1.691730 -1.144144 0.001601 -1.628943 0.193013 0.001003 718746870.143693 1.137815 7884223805.314807 
rand_281 -1.639393 -1.112702 0.001975 -1.628894 0.195405 0.001604 771488754.238498 1.661834 5095129052.082683 
rand_282 -1.677759 -1.130417 0.002516 -1.628917 0.202537 0.000678 205788747.292239 0.885299 7154052910.146442 
rand_283 -1.696502 -1.164875 0.011735 -1.628905 0.196443 0.000320 811338220.982477 0.958084 6766354799.835690 
rand_284 -1.659977 -1.156009 0.002563 -1.628915 0.194454 0.000233 2692949683.681624 1.123241 6631607206.630525 
rand_285 -1.632796 -1.136757 0.005940 -1.628917 0.191486 0.001433 434136605.050762 1.184082 5395982469.865742 
rand_286 -1.682209 -1.105541 0.000263 -1.628925 0.189388 0.002170 483056867.755275 1.460750 5845086556.948679 
rand_287 -1.623222 -1.147851 0.001672 -1.628951 0.197148 0.002156 158033579.692761 1.120180 7009492015.909266 
rand_288 -1.644895 -1.140682 0.003815 -1.628929 0.200519 0.001125 313959870.718663 1.298105 6809960501.433364 
rand_289 -1.656395 -1.125778 0.002027 -1.628906 0.194429 0.001299 811634644.061187 1.452790 7291250548.211421 
rand_290 -1.670019 -1.163375 0.003572 -1.628912 0.197952 0.000881 1564543020.827884 1.196721 7742919467.812032 
rand_291 -1.668416 -1.124029 0.004137 -1.628917 0.197686 0.000873 1126337501.205814 1.303328 6931904751.087209 
rand_292 -1.650106 -1.160875 0.005808 -1.628988 0.188806 0.001821 302841002.321259 1.102456 4900917586.440301 
rand_293 -1.640541 -1.118656 0.003518 -1.628937 0.196354 0.000701 542848964.425519 1.242907 6463624444.924593 
rand_294 -1.673650 -1.146176 0.006655 -1.628940 0.194806 0.000541 1054888373.177522 1.140915 6899379282.666430 
rand_295 -1.678550 -1.148841 0.006729 -1.628961 0.196807 0.000386 2593686105.079921 1.596071 7142734826.917543 
rand_296 -1.664918 -1.124544 0.004804 -1.628907 0.199291 0.001302 425371559.691862 1.031281 6526641668.701900 
rand_297 -1.627947 -1.114120 0.001320 -1.628986 0.193833 0.000627 828613139.834723 1.212873 7289966655.933276 
rand_298 -1.687988 -1.122475 0.004325 -1.628908 0.194103 0.001225 411272138.323993 1.347163 7765600125.696585 
rand_299 -1.633723 -1.125847 0.002394 -1.628895 0.200476 0.000630 367324412.014969 0.884135 5542484842.181157 
rand_300 -1.659028 -1.125564 0.007045 -1.628937 0.191714 0.000345 2228276889.991764 1.393960 7161392984.883683 
rand_301 -1.698013 -1.122354 0.001545 -1.628933 0.190420 0.000694 1401700990.911214 1.565648 7138967610.436118 
rand_302 -1.670618 -1.121039 0.003500 -1.628905 0.191013 0.000417 1681540160.894027 1.601324 6945281076.333004 
rand_303 -1.645978 -1.137886 0.002413 -1.628952 0.193284 0.000681 423742090.663089 0.884927 7388191189.467751 
rand_304 -1.618558 -1.116910 0.004313 -1.628913 0.193365 0.000916 1097778129.605968 1.302357 10034145219.162928 
rand_305 -1.690530 -1.145964 0.001602 -1.628956 0.191521 0.000994 1089214759.554475 1.315622 7226098087.301856 
rand_306 -1.724841 -1.108172 0.005166 -1.628964 0.192310 0.001320 569458801.115239 1.202648 5974988975.625816 
rand_307 -1.690120 -1.114351 0.006303 -1.628923 0.188478 0.000523 1401062788.283444 1.386931 7484706045.563977 
rand_308 -1.634000 -1.086382 0.000542 -1.628932 0.188634 0.000833 393065847.965186 0.994833 5931680221.668225 
rand_309 -1.701256 -1.119723 0.003183 -1.628977 0.197127 0.002145 1045617500.766760 1.629139 7059779955.345716 
rand_310 -1.625563 -1.111818 0.003774 -1.628893 0.201582 0.002687 269876716.914074 1.049876 8001067589.573953 
rand_311 -1.632059 -1.161211 0.004571 -1.628942 0.189168 0.000792 514017947.744566 0.791155 9508993293.548687 
rand_312 -1.655606 -1.111166 0.006309 -1.628917 0.193747 0.001675 1119569977.265678 1.715703 8550781439.359097 
rand_313 -1.674406 -1.106471 0.005770 -1.628888 0.188659 0.000953 869364259.527741 1.306284 8660732797.604519 
rand_314 -1.658729 -1.099906 0.001490 -1.628924 0.194239 0.002885 219745925.438885 1.119698 6051315934.458080 
rand_315 -1.645945 -1.127591 0.009640 -1.628897 0.191792 0.000924 271003081.537958 1.108564 7822732868.099568 
rand_316 -1.649455 -1.136838 0.006153 -1.628954 0.188233 0.001424 439901390.198968 0.933100 8352002984.911232 
rand_317 -1.619988 -1.151790 0.008844 -1.628893 0.192721 0.000913 990555684.609284 1.099935 7006922379.644588 
rand_318 -1.665982 -1.149961 0.004483 -1.628953 0.189893 0.000397 1252908437.945449 0.956339 8153270448.355987 
rand_319 -1.689919 -1.130512 0.004727 -1.628946 0.203525 0.000722 862851486.000980 1.547517 6447919888.034347 
rand_320 -1.693977 -1.165029 0.002572 -1.628970 0.195046 0.000844 1725087034.243051 1.535802 8812620829.352713 
rand_321 -1.698578 -1.145364 0.001226 -1.628924 0.192145 0.000618 1224492015.624965 1.273526 7359191335.696163 
rand_322 -1.655486 -1.128210 0.007073 -1.628914 0.196607 0.001006 944581639.122086 1.661003 6157510716.291876 
rand_323 -1.665390 -1.128656 0.004145 -1.628910 0.188735 0.000206 3443844548.068302 1.049390 8035324470.157089 
rand_324 -1.659249 -1.149388 0.002513 -1.628970 0.187887 0.000938 1450502636.573107 1.583604 6678479754.860373 
rand_325 -1.672352 -1.154677 0.004202 -1.628921 0.190914 0.001947 128688118.620981 0.760721 6419555523.174017 
rand_326 -1.685534 -1.151690 0.009462 -1.628920 0.191425 0.001045 1342618871.452713 1.626647 8546718399.692342 
rand_327 -1.645870 -1.134417 0.003519 -1.628914 0.199982 0.002159 474782270.343964 1.330708 6323884372.057260 
rand_328 -1.716650 -1.087404 0.006273 -1.628952 0.193854 0.000445 1175048724.418655 1.086892 8722690474.739229 
rand_329 -1.678437 -1.108793 0.003390 -1.628999 0.190240 0.000763 846227950.220622 1.098195 7973898288.202091 
rand_330 -1.641911 -1.125716 0.002227 -1.628912 0.190844 0.000550 1269418367.360358 1.469073 6857364134.820638 
rand_331 -1.680719 -1.118922 0.002058 -1.628935 0.195540 0.001029 804435262.643379 1.214918 6839885611.921406 
rand_332 -1.650991 -1.109683 0.005429 -1.628923 0.196697 0.000799 1035773865.768672 1.568221 6731860212.946712 
rand_333 -1.678406 -1.116488 0.002233 -1.628934 0.196269 0.000958 1077291312.770455 1.383166 7017628648.449781 
rand_334 -1.670484 -1.136164 0.001796 -1.628925 0.199157 0.000907 1467625301.147948 1.361480 7667729198.776029 
rand_335 -1.646777 -1.146912 0.008668 -1.628911 0.198034 0.001455 1327228693.827537 1.574520 9098350449.653772 
rand_336 -1.689391 -1.132505 0.000893 -1.628981 0.192883 0.002419 359707396.448715 1.294281 8401820417.838825 
rand_337 -1.642859 -1.109915 0.002843 -1.628900 0.198975 0.001451 861797437.202591 1.654233 6589680798.386928 
rand_338 -1.658944 -1.135408 0.006882 -1.628936 0.190910 0.001305 412704554.910459 1.284242 8004137700.806664 
rand_339 -1.631102 -1.152094 0.005638 -1.628887 0.193765 0.000921 1631519467.940580 1.710462 8390861183.508754 
rand_340 -1.655213 -1.164469 0.007257 -1.628943 0.193588 0.002057 540924849.361520 1.282244 6726005727.826451 
rand_341 -1.684598 -1.132421 0.011384 -1.628949 0.192510 0.000556 1001735711.169034 1.303800 6360234082.643080 
rand_342 -1.620256 -1.150513 0.010054 -1.628935 0.191541 0.000589 1785266527.956377 1.547507 8829078697.984905 
rand_343 -1.682677 -1.138730 0.004684 -1.628918 0.194117 0.000644 890412453.544924 0.815882 7994597322.786207 
rand_344 -1.665225 -1.100875 0.005195 -1.628938 0.193552 0.001285 269121081.401868 1.112180 7317394097.239825 
rand_345 -1.637980 -1.131077 0.004401 -1.628916 0.189258 0.001352 1132342917.242467 1.272219 6991046229.609448 
rand_346 -1.703238 -1.145009 0.007078 -1.628941 0.188291 0.000726 371621974.454423 0.931600 6083634694.724360 
rand_347 -1.626888 -1.123825 0.011527 -1.628930 0.192434 0.000892 490213611.486340 1.348431 6802487080.451605 
rand_348 -1.686470 -1.091581 0.004358 -1.628871 0.192390 0.001251 1204336938.295249 1.385320 10794696325.816568 
rand_349 -1.670465 -1.132414 0.005391 -1.628921 0.193679 0.001087 1042453806.233263 1.461158 8596106050.057581 
rand_350 -1.653356 -1.177111 0.010105 -1.628919 0.197835 0.000823 502832632.881168 1.096608 7524134682.953446 
rand_351 -1.660959 -1.116998 0.006221 -1.628971 0.190539 0.000651 1068614716.056888 1.597260 6247414760.672405 
rand_352 -1.641849 -1.123071 0.010963 -1.628894 0.183430 0.000822 990561470.926758 0.838979 7239922810.939422 
rand_353 -1.696819 -1.128198 0.004520 -1.628902 0.195110 0.000590 1319171729.166764 1.588319 7787679234.677448 
rand_354 -1.643269 -1.134384 0.002692 -1.628950 0.194925 0.000676 456521517.781779 0.945091 5916532927.167481 
rand_355 -1.641433 -1.146145 0.006442 -1.628903 0.197959 0.000397 1020767057.084363 0.953257 7545512758.863302 
rand_356 -1.636328 -1.099701 0.008552 -1.628922 0.195017 0.001104 728506531.994732 1.338438 6102665918.219320 
rand_357 -1.696562 -1.166766 0.004666 -1.628930 0.198376 0.002397 873339286.616523 1.497230 8456252568.684368 
rand_358 -1.693786 -1.136179 0.009031 -1.628896 0.199073 0.000339 827086217.229872 0.740240 7061016435.114832 
rand_359 -1.667875 -1.136647 0.002547 -1.628945 0.187410 0.001081 1378129915.361667 1.457424 7724855117.380672 
rand_360 -1.691299 -1.112931 0.005304 -1.628951 0.192813 0.000688 1447100476.885100 1.634801 6999568456.569448 
rand_361 -1.701491 -1.105287 0.002336 -1.628925 0.195722 0.001147 324360775.543594 1.097291 8577362417.094911 
rand_362 -1.668866 -1.134535 0.012856 -1.628917 0.194919 0.000589 1508731815.103664 1.365413 7444388594.715055 
rand_363 -1.654616 -1.126141 0.006521 -1.628905 0.188860 0.001528 920046037.908334 1.597081 7168135799.260194 
rand_364 -1.595623 -1.124440 0.002349 -1.628935 0.189453 0.000314 1145789335.552503 1.195077 7071875373.048275 
rand_365 -1.647380 -1.108933 0.010687 -1.628954 0.193951 0.000355 1414864687.409070 1.237048 7016959195.932734 
rand_366 -1.619698 -1.109345 0.000034 -1.628863 0.197027 0.001066 1943254556.896164 1.938785 8194086816.375599 
rand_367 -1.661015 -1.140768 0.003111 -1.628960 0.184213 0.000787 1563671397.389214 1.399813 6949879554.061614 
rand_368 -1.647130 -1.121242 0.004984 -1.628930 0.193853 0.000419 576672918.494460 0.965452 5782934318.002983 
rand_369 -1.663361 -1.122335 0.005321 -1.628910 0.197514 0.000429 1335183669.341501 1.198355 6911102866.668265 
rand_370 -1.598288 -1.132318 0.005048 -1.628900 0.194584 0.001478 894992683.585784 1.601313 7744535279.575716 
rand_371 -1.675769 -1.122524 0.002177 -1.628946 0.193500 0.000772 1137368883.936815 1.404686 6322504607.262512 
rand_372 -1.672649 -1.129596 0.005061 -1.628982 0.195160 0.000653 708542370.500021 1.141075 6821058486.023952 
rand_373 -1.641680 -1.126842 0.007589 -1.628947 0.203728 0.001995 1108475947.312626 1.802805 6827439302.004193 
rand_374 -1.655228 -1.157120 0.007471 -1.628908 0.194366 0.001598 181848061.889498 0.942475 9104147330.268301 
rand_375 -1.669756 -1.148359 0.005612 -1.628914 0.192379 0.002570 347473969.795516 1.557343 6617066184.362195 
rand_376 -1.637911 -1.113645 0.000353 -1.628913 0.193448 0.000571 1410728315.157769 1.311622 8108088472.910151 
rand_377 -1.660946 -1.154212 0.005159 -1.628912 0.193746 0.001011 902151166.372004 1.341635 6679201656.811420 
rand_378 -1.661109 -1.120598 0.004455 -1.628895 0.193818 0.000560 706012433.893161 1.074152 6236179797.078849 
rand_379 -1.654697 -1.131629 0.005145 -1.628952 0.191167 0.001339 1088015779.011627 1.598082 7051708004.695274 
rand_380 -1.699885 -1.109387 0.002457 -1.628963 0.194809 0.000707 1044805465.281874 1.388478 7567471332.373484 
rand_381 -1.696645 -1.117024 0.000314 -1.628921 0.182684 0.000670 1400749364.907948 1.188318 6983563908.351152 
rand_382 -1.635001 -1.139066 0.009236 -1.628959 0.187944 0.000689 959197906.124217 1.100264 7985424947.051126 
rand_383 -1.675570 -1.134465 0.002940 -1.628965 0.190069 0.000245 1578206396.299084 1.076418 6705308829.366961 
rand_384 -1.663058 -1.169711 0.003202 -1.628898 0.189746 0.000353 2006149770.100718 1.108081 7053498463.544746 
rand_385 -1.622914 -1.132608 0.005054 -1.628924 0.196533 0.001066 378742227.243165 0.715477 6957454999.328318 
rand_386 -1.662021 -1.155403 0.001419 -1.628930 0.191534 0.001128 477444225.059146 0.892156 8192586611.864019 
rand_387 -1.664832 -1.134374 0.000484 -1.628930 0.195204 0.001553 522555949.533492 1.203518 6679375094.370015 
rand_388 -1.639390 -1.142758 0.001156 -1.628934 0.195293 0.000831 854430219.771471 1.388850 4613729148.261769 
rand_389 -1.673760 -1.147533 0.002806 -1.628898 0.189218 0.003325 160749494.441082 1.029067 6788635218.555246 
rand_390 -1.632333 -1.106246 0.005497 -1.628972 0.192581 0.000474 1671546343.374017 0.913638 8376752463.721735 
rand_391 -1.639862 -1.155524 0.008481 -1.628973 0.191387 0.000980 580681557.436566 1.452691 4852754564.943952 
rand_392 -1.617902 -1.149261 0.007232 -1.628956 0.193000 0.004192 303212036.205672 1.188845 7975571285.419235 
rand_393 -1.675878 -1.143964 0.012249 -1.628923 0.193239 0.000932 861809883.495935 1.282839 7232451932.659318 
rand_394 -1.628560 -1.139622 0.005837 -1.628882 0.191713 0.000301 342802452.051036 0.591113 5685800311.524654 
rand_395 -1.647256 -1.147536 0.003633 -1.628908 0.194183 0.000905 360555200.466578 1.170869 5953749883.680936 
rand_396 -1.690483 -1.137183 0.001172 -1.628915 0.199489 0.000197 2179931535.597705 1.091531 6865627365.450615 
rand_397 -1.719712 -1.123957 0.001309 -1.628933 0.200293 0.001681 433316626.138761 1.365523 5959817012.378773 
rand_398 -1.678355 -1.116603 0.005276 -1.628967 0.190795 0.000235 1615208598.795731 0.854705 6746627370.931444 
rand_399 -1.653276 -1.117574 0.002348 -1.628917 0.197193 0.000218 2206615768.138441 1.251716 7277539325.429441 
rand_400 -1.649941 -1.168164 0.003998 -1.628876 0.187828 0.000748 489949830.915154 0.981666 6500226045.458602 
rand_401 -1.661359 -1.122396 0.002977 -1.628937 0.196876 0.000873 995481834.534266 1.601473 7567432588.358678 
rand_402 -1.661153 -1.121162 0.000055 -1.628946 0.193707 0.000330 1121159393.184415 1.217660 7290678597.700264 
rand_403 -1.662898 -1.143248 0.003817 -1.628937 0.190125 0.000211 3247920889.160690 1.035910 7675004296.789088 
rand_404 -1.636282 -1.096646 0.013457 -1.628915 0.192688 0.001575 1103729584.735783 1.273977 12330791426.177580 
rand_405 -1.693035 -1.108247 0.004670 -1.628928 0.191239 0.000809 646048920.736300 1.069434 6464340251.506743 
rand_406 -1.653829 -1.133660 0.002776 -1.628906 0.191024 0.000356 848381952.153005 1.174544 5977515481.871401 
rand_407 -1.678923 -1.141919 0.008092 -1.628932 0.202484 0.001154 602631910.245038 1.176487 7116538160.695253 
rand_408 -1.680850 -1.096971 0.005234 -1.628938 0.194294 0.000800 982454868.434313 1.313862 6828478968.826302 
rand_409 -1.632947 -1.130380 0.001104 -1.628925 0.189413 0.000884 2185525579.186161 1.677252 8254101959.549285 
rand_410 -1.682615 -1.128299 0.001128 -1.628946 0.194235 0.000613 1985918862.824648 1.462987 6188452034.442127 
rand_411 -1.663209 -1.128551 0.003589 -1.628884 0.196671 0.000187 3484304778.425915 1.133845 7365791279.950650 
rand_412 -1.614955 -1.083938 0.001670 -1.628909 0.203214 0.000640 1560997960.574510 1.484120 9434031719.639830 
rand_413 -1.640724 -1.134330 0.003755 -1.628961 0.197685 0.000431 1693959449.367092 1.447251 7831108286.532496 
rand_414 -1.670464 -1.130473 0.003198 -1.628951 0.190372 0.000903 389589023.500123 0.988023 6093465841.781717 
rand_415 -1.668565 -1.146621 0.007464 -1.628916 0.199899 0.000814 591204173.937474 1.133105 7226478691.836422 
rand_416 -1.688226 -1.137790 0.005529 -1.628926 0.196817 0.000422 941738941.813254 0.991158 5974443366.832742 
rand_417 -1.630085 -1.150628 0.001722 -1.628923 0.201781 0.000518 1323243863.458707 1.479047 7235308873.621802 
rand_418 -1.636739 -1.146215 0.004855 -1.628936 0.197213 0.001267 677655926.774742 1.237583 6441141857.802938 
rand_419 -1.644208 -1.166199 0.003902 -1.628919 0.196203 0.002092 510024870.761494 1.322881 6261780829.471232 
rand_420 -1.641673 -1.112370 0.003934 -1.628936 0.190066 0.000670 733379764.252450 1.148641 6667731734.849688 
rand_421 -1.677814 -1.126865 0.000387 -1.628916 0.189140 0.000555 1089873435.902725 1.550949 5385686815.792550 
rand_422 -1.695602 -1.125218 0.008822 -1.628910 0.182233 0.000545 1209762664.961802 1.357051 6338423403.564750 
rand_423 -1.647108 -1.131049 0.004123 -1.628888 0.197421 0.000780 654312458.156475 0.919727 8501402641.614801 
rand_424 -1.639563 -1.128565 0.000885 -1.628945 0.196024 0.000750 466613878.749443 1.059596 6228721357.552174 
rand_425 -1.623038 -1.097617 0.006694 -1.628931 0.186298 0.001261 337407256.715649 1.124479 6467426376.991166 
rand_426 -1.664620 -1.145375 0.000826 -1.628964 0.195930 0.000770 672994719.326352 1.042152 8833143341.491268 
rand_427 -1.667975 -1.124433 0.001790 -1.628882 0.200417 0.001664 487904144.992515 1.102822 7698499176.489639 
rand_428 -1.665503 -1.124540 0.005375 -1.628984 0.193377 0.000831 946670512.243445 1.006366 7643253000.984551 
rand_429 -1.644573 -1.107160 0.008055 -1.628886 0.195819 0.000700 2251708834.281157 1.603810 8904235738.819027 
rand_430 -1.666488 -1.121227 0.006770 -1.628928 0.184824 0.001037 1259901642.272232 1.214244 7026191912.057306 
rand_431 -1.661201 -1.120222 0.005986 -1.628920 0.189972 0.000740 416276690.484263 0.889907 7865625262.145687 
rand_432 -1.640886 -1.155165 0.006605 -1.628935 0.195127 0.000301 592885922.058744 0.806739 5768069984.220460 
rand_433 -1.674394 -1.146178 0.000760 -1.628930 0.194604 0.000873 1258893378.335621 1.414263 7326312524.141242 
rand_434 -1.628003 -1.153338 0.003429 -1.628915 0.190816 0.003370 510253130.543134 1.401563 7980159908.373772 
rand_435 -1.645439 -1.179517 0.000445 -1.628975 0.201731 0.001754 214928315.671918 1.134393 7906124176.371334 
rand_436 -1.702725 -1.122056 0.011209 -1.628949 0.191992 0.002027 201324521.654876 1.079071 6170735387.659258 
rand_437 -1.671853 -1.135233 0.007622 -1.628954 0.201591 0.001438 862441140.126356 1.635781 6194452858.905481 
rand_438 -1.706560 -1.122019 0.000834 -1.628919 0.188259 0.000578 2200552190.556164 1.241840 6692753311.829083 
rand_439 -1.664524 -1.129290 0.001628 -1.628931 0.192571 0.001106 500229662.641792 1.165122 7097071816.866742 
rand_440 -1.671461 -1.125191 0.004022 -1.628914 0.197675 0.000326 2826156702.483254 1.664877 8576037327.132992 
rand_441 -1.640798 -1.103238 0.001547 -1.628927 0.195339 0.001596 796512355.544139 1.634786 5533093450.532036 
rand_442 -1.680263 -1.129854 0.001165 -1.628902 0.194945 0.000648 1117728661.042411 1.122829 9678903242.623833 
rand_443 -1.651082 -1.116620 0.004680 -1.628951 0.199365 0.001264 1079415083.737593 1.724806 8829359697.543650 
rand_444 -1.646917 -1.136045 0.006676 -1.628929 0.195611 0.000849 907832228.598076 1.491152 7289953534.910048 
rand_445 -1.654085 -1.113504 0.007834 -1.628901 0.199568 0.000355 1059280850.827651 1.052355 7895830056.270988 
rand_446 -1.633777 -1.154793 0.002106 -1.628906 0.186466 0.000327 2570101758.815495 0.998273 8769846048.686672 
rand_447 -1.612429 -1.166751 0.007112 -1.628971 0.192255 0.000971 843561421.855173 0.906812 9734741927.609182 
rand_448 -1.657425 -1.087867 0.001006 -1.628959 0.200129 0.000636 694207630.236374 1.329309 6959246168.105228 
rand_449 -1.650681 -1.093274 0.003230 -1.628933 0.194970 0.000965 719530862.816603 1.202680 6835356093.834878 
rand_450 -1.680246 -1.168910 0.001793 -1.628937 0.186044 0.000788 1192118642.633338 1.367560 7302126696.992008 
rand_451 -1.683449 -1.130722 0.006805 -1.628933 0.188863 0.001013 503243792.996632 0.960015 8688756004.370300 
rand_452 -1.636222 -1.127002 0.000575 -1.628910 0.196405 0.001109 675517264.966470 1.670895 5876807800.445385 
rand_453 -1.639265 -1.115541 0.000540 -1.628923 0.192189 0.000943 1167405368.924064 1.526079 6931990858.021553 
rand_454 -1.683681 -1.095216 0.008254 -1.628922 0.191684 0.000655 488744128.031385 0.971424 6915712209.448850 
rand_455 -1.690089 -1.151228 0.003592 -1.628913 0.191267 0.002044 493092269.549304 1.309420 8055290767.260969 
rand_456 -1.674921 -1.150154 0.009520 -1.628902 0.196204 0.001454 1130504737.946735 1.782355 7295340147.285029 
rand_457 -1.663252 -1.130023 0.000130 -1.629014 0.193340 0.001102 1202788163.982860 1.392800 7517426295.416426 
rand_458 -1.669410 -1.149272 0.001855 -1.628941 0.194571 0.000528 1814954071.005324 1.313849 7676783024.873929 
rand_459 -1.656308 -1.184283 0.004647 -1.628955 0.193918 0.000287 2258277079.616025 1.060110 6674658247.535856 
rand_460 -1.638908 -1.134545 0.005544 -1.628918 0.195460 0.000814 376356056.473669 0.797300 9811440588.373808 
rand_461 -1.649372 -1.112849 0.006025 -1.628943 0.203530 0.001472 275502138.456342 0.980596 6180344324.176588 
rand_462 -1.647669 -1.130409 0.004548 -1.628929 0.188559 0.000636 1309108044.187722 1.668162 6864079599.163305 
rand_463 -1.716385 -1.117519 0.000948 -1.628908 0.194907 0.001538 150118490.980117 0.818685 6865591620.210287 
rand_464 -1.697120 -1.120380 0.001590 -1.628947 0.191296 0.000882 552964057.907730 1.228092 6631888483.077105 
rand_465 -1.678319 -1.150540 0.009156 -1.628921 0.195060 0.000474 1829621669.716101 1.321462 8388803218.232960 
rand_466 -1.674522 -1.128640 0.010185 -1.628889 0.189693 0.001226 233418184.354089 1.053228 7695058480.309809 
