trial b/dMass b/dRadius b/dEcc b/dOrbPeriod star/dMass star/dAge star/dXUVEngleMidLateA star/dXUVEngleMidLateB star/dXUVEngleMidLateC star/dXUVEngleMidLateD star/dFlareSlopeA1 star/dFlareSlopeA2 star/dFlareSlopeA3 star/dFlareYIntB1 star/dFlareYIntB2 star/dFlareYIntB3 vpl/dStopTime 
rand_129 -1.674970 -1.127423 0.006436 -1.628943 0.196429 4391793.069024 -0.084617 -2.815987 -1.602598 0.256970 -0.148054 0.513444 -0.615744 4.681805 -16.322243 19.369306 7371955246.305123 
rand_130 -1.655250 -1.126655 0.005353 -1.628957 0.202038 7264082.454354 -0.119390 -3.654895 -1.489730 0.298820 -0.147378 0.517997 -0.619827 4.659188 -16.479390 19.509490 7694995470.213390 
rand_131 -1.621923 -1.098019 0.010439 -1.628934 0.197024 6092333.641363 -0.144102 -3.271694 -1.690099 0.325735 -0.148205 0.515175 -0.615793 4.688310 -16.386998 19.373288 7298979782.339079 
rand_132 -1.649056 -1.121309 0.005731 -1.628954 0.184690 4674727.635288 -0.240944 -2.660548 -1.765840 0.246074 -0.148225 0.513971 -0.615701 4.688082 -16.344692 19.370823 8349370417.697774 
rand_133 -1.619013 -1.149986 0.000971 -1.628941 0.194990 4411808.644437 -0.110715 -3.082218 -1.431000 0.232217 -0.147907 0.514830 -0.617159 4.677040 -16.372388 19.419688 6878615380.210638 
rand_134 -1.690000 -1.105850 0.008107 -1.628954 0.194004 4906057.767198 -0.169502 -3.133934 -1.868747 0.347460 -0.147767 0.516734 -0.618105 4.672906 -16.438330 19.451396 7074211661.802198 
rand_135 -1.680385 -1.132334 0.006301 -1.628901 0.194893 4060397.093136 -0.136879 -2.874702 -1.587226 0.265714 -0.147795 0.517402 -0.619685 4.673725 -16.456471 19.501506 7511120002.170898 
rand_136 -1.700998 -1.123515 0.001782 -1.628906 0.193965 5229524.727423 -0.141932 -2.382062 -1.460587 0.196984 -0.148646 0.518052 -0.617428 4.702834 -16.483078 19.427839 7119503647.052386 
rand_137 -1.665134 -1.138592 0.003575 -1.628978 0.193650 4952829.980863 -0.146497 -3.320466 -1.274442 0.171397 -0.147793 0.523094 -0.623649 4.673383 -16.650066 19.635986 6853483627.442252 
rand_138 -1.711542 -1.133201 0.002231 -1.628920 0.195774 3957821.825651 -0.130484 -1.961101 -2.394102 0.391634 -0.148220 0.514093 -0.616544 4.687840 -16.344017 19.395650 7524683029.632890 
rand_139 -1.672766 -1.114982 0.005982 -1.628907 0.186351 4182989.263985 -0.169296 -2.492771 -2.035425 0.343745 -0.148621 0.513287 -0.613815 4.701640 -16.326363 19.310312 6733529667.851014 
rand_140 -1.648431 -1.117686 0.009383 -1.628926 0.196688 4472598.766333 -0.125619 -3.387100 -1.570719 0.299810 -0.147604 0.516059 -0.617962 4.667027 -16.416783 19.447966 6978945509.837074 
rand_141 -1.678938 -1.123129 0.001247 -1.628932 0.192213 4448079.991791 -0.077546 -3.282277 -2.115017 0.321777 -0.149334 0.517500 -0.616846 4.725932 -16.465973 19.410132 6289579442.449026 
rand_142 -1.681968 -1.152371 0.000646 -1.628914 0.199907 4690287.676574 -0.102675 -3.134982 -1.445839 0.323555 -0.149387 0.515018 -0.614804 4.728081 -16.379110 19.338067 6781689811.201018 
rand_143 -1.655344 -1.134929 0.000304 -1.628917 0.188581 2931115.079571 -0.106734 -3.298046 -1.815795 0.321393 -0.147665 0.515257 -0.617487 4.669147 -16.388139 19.430779 7622908717.250829 
rand_144 -1.657254 -1.114190 0.010177 -1.628915 0.194939 4146479.129757 -0.059192 -2.834160 -1.284007 0.162304 -0.148677 0.519648 -0.619249 4.703317 -16.536958 19.490077 7661559121.824128 
rand_145 -1.628491 -1.131366 0.006336 -1.628892 0.200861 4417204.375204 -0.097438 -2.011663 -1.795063 0.281198 -0.147880 0.517264 -0.619047 4.676964 -16.457067 19.483712 6183664638.816623 
rand_146 -1.673341 -1.161199 0.003716 -1.628931 0.203488 5505539.090375 -0.041294 -2.566091 -2.401513 0.304131 -0.149061 0.516838 -0.615696 4.716901 -16.444349 19.370842 6739662802.424185 
rand_147 -1.668000 -1.119089 0.005163 -1.628930 0.194240 7263411.823046 -0.269339 -2.230281 -1.807861 0.288375 -0.147913 0.512708 -0.613977 4.678253 -16.300334 19.310153 7276593352.399843 
rand_148 -1.646980 -1.109538 0.007778 -1.628983 0.194633 4746737.035412 -0.168803 -3.006586 -1.677810 0.288168 -0.148045 0.514737 -0.615273 4.681993 -16.374423 19.358552 6693593822.408705 
rand_149 -1.655230 -1.127629 0.004659 -1.628927 0.192954 4893743.257728 -0.189980 -2.912530 -1.340635 0.296441 -0.148056 0.519856 -0.620869 4.682476 -16.541381 19.543216 7647121139.096686 
rand_150 -1.693891 -1.142121 0.007385 -1.628907 0.197183 4063071.044984 -0.226468 -2.479521 -1.004734 0.190180 -0.148713 0.516927 -0.617106 4.704851 -16.445799 19.418326 7127490586.472528 
rand_151 -1.666687 -1.106729 0.006722 -1.628907 0.194016 4717804.502648 -0.159389 -2.739020 -2.623641 0.415167 -0.147725 0.517925 -0.619903 4.671184 -16.478238 19.512516 6777476867.074222 
rand_152 -1.661394 -1.145762 0.011633 -1.628901 0.195800 6196582.927934 -0.267967 -2.615562 -1.329741 0.240880 -0.148380 0.516005 -0.617754 4.693524 -16.409299 19.436761 6804486503.423612 
rand_153 -1.662548 -1.164546 0.006719 -1.628924 0.188445 4548136.862987 -0.204071 -2.596269 -1.440800 0.359686 -0.147294 0.519991 -0.621231 4.656439 -16.547897 19.556808 7160739902.712565 
rand_154 -1.637461 -1.107196 0.005494 -1.628956 0.201261 7339152.690195 -0.251808 -2.985803 -1.268321 0.356455 -0.149220 0.516325 -0.616043 4.722357 -16.424801 19.381363 7096936728.024332 
rand_155 -1.658382 -1.150701 0.006022 -1.628888 0.197068 4287930.275015 -0.092228 -3.009891 -1.644802 0.330594 -0.147904 0.515424 -0.617634 4.676900 -16.393724 19.436188 7286252504.556446 
rand_156 -1.635287 -1.082859 0.007032 -1.628896 0.199383 5624701.229768 -0.213575 -2.421989 -2.128281 0.364335 -0.148420 0.516128 -0.616760 4.695655 -16.417707 19.404807 7690431130.490141 
rand_157 -1.636641 -1.128815 0.006411 -1.628921 0.196780 6004379.872628 -0.135761 -2.663755 -1.743543 0.324443 -0.148330 0.515786 -0.617057 4.691866 -16.403986 19.414448 7065765400.931117 
rand_158 -1.637706 -1.158648 0.004106 -1.628936 0.189602 3471942.839970 -0.245130 -2.706921 -2.162794 0.363400 -0.148761 0.515776 -0.616548 4.706267 -16.403616 19.397562 7264362520.016891 
rand_159 -1.662070 -1.145416 0.000879 -1.628930 0.191248 5559161.321565 -0.163597 -2.500585 -2.097672 0.347901 -0.149256 0.514248 -0.614357 4.723205 -16.353203 19.324063 6870246783.879767 
rand_160 -1.669134 -1.132566 0.005784 -1.628974 0.195076 5078432.044933 -0.221880 -3.073574 -1.453929 0.338319 -0.149053 0.512877 -0.614046 4.716642 -16.307145 19.314013 7225115182.168957 
rand_161 -1.646728 -1.151608 0.004951 -1.628964 0.191051 4697638.696419 -0.151570 -3.222833 -1.304829 0.332239 -0.148747 0.515159 -0.615548 4.706654 -16.383731 19.362836 7479332046.190914 
rand_162 -1.691732 -1.140323 0.001837 -1.628897 0.199180 3873535.146602 -0.095844 -3.343456 -1.274629 0.235932 -0.148351 0.518409 -0.619212 4.692310 -16.494761 19.488755 7239471042.554064 
rand_163 -1.658882 -1.130127 0.002258 -1.628931 0.194356 5872865.716927 -0.131328 -2.582695 -1.233441 0.281976 -0.148919 0.516535 -0.617911 4.711718 -16.428948 19.443372 7228799541.156363 
rand_164 -1.640035 -1.115183 0.001734 -1.628950 0.194715 2556833.749535 -0.091439 -3.224805 -1.463075 0.266004 -0.148029 0.516446 -0.617573 4.682164 -16.426292 19.430452 7657919566.049212 
rand_165 -1.661708 -1.125602 0.005653 -1.628907 0.196130 5013210.627142 -0.116923 -2.602623 -1.624744 0.353420 -0.149293 0.516504 -0.615252 4.725290 -16.430989 19.353601 6739366660.099621 
rand_166 -1.675750 -1.138408 0.003240 -1.628929 0.193094 4743625.596729 -0.180231 -2.589907 -2.358434 0.350513 -0.147950 0.518369 -0.619435 4.678250 -16.496693 19.499683 6881611217.183930 
rand_167 -1.652971 -1.125152 0.002253 -1.628917 0.199494 3082895.038367 -0.066994 -2.164537 -1.951794 0.239969 -0.148619 0.514539 -0.615174 4.701839 -16.365603 19.353268 7640457103.869532 
rand_168 -1.644295 -1.139236 0.005526 -1.628983 0.203038 4132986.663066 -0.185267 -3.022316 -1.540903 0.364577 -0.148272 0.516821 -0.617177 4.689962 -16.442486 19.420730 7377046298.395277 
rand_169 -1.651467 -1.138562 0.008935 -1.628953 0.193436 5151629.652961 -0.135246 -2.578615 -1.653838 0.250755 -0.147974 0.520537 -0.622293 4.680077 -16.567073 19.593455 7210100528.776931 
rand_170 -1.664512 -1.122867 0.004179 -1.628927 0.198062 7967802.161990 -0.235090 -2.542290 -1.574658 0.335758 -0.148719 0.515465 -0.615542 4.705632 -16.392571 19.361452 7496285334.845565 
rand_171 -1.658365 -1.117335 0.003848 -1.628932 0.197836 3961444.360097 -0.108471 -2.491458 -1.145699 0.168457 -0.148126 0.516757 -0.616917 4.684843 -16.441077 19.412545 7229659383.532912 
rand_172 -1.644346 -1.128637 0.001205 -1.628983 0.190606 5598422.335212 -0.055075 -3.056151 -1.887498 0.261128 -0.148905 0.514419 -0.615239 4.711584 -16.359495 19.353876 7225047330.325693 
rand_173 -1.641133 -1.123968 0.006522 -1.628902 0.198147 3839594.682012 -0.090936 -3.306182 -1.405894 0.200301 -0.147007 0.520963 -0.622883 4.646381 -16.582062 19.614729 7149747986.134501 
rand_174 -1.649111 -1.153666 0.001778 -1.628934 0.194765 2798925.543590 -0.072418 -2.655882 -2.142308 0.339941 -0.148436 0.517446 -0.617289 4.695472 -16.466621 19.426883 8245661228.439582 
rand_175 -1.672644 -1.152970 0.001838 -1.628912 0.197674 6462780.469568 -0.331233 -2.227884 -1.797311 0.343886 -0.147317 0.520062 -0.620845 4.657687 -16.554409 19.546958 7779631388.814691 
rand_176 -1.661963 -1.147210 0.013149 -1.628942 0.190866 4752245.812861 -0.172948 -2.245005 -2.472675 0.338688 -0.148786 0.517783 -0.618385 4.707728 -16.474052 19.460747 6759331236.366347 
rand_177 -1.677257 -1.120577 0.004381 -1.628954 0.193115 4323554.106518 -0.387912 -3.308297 -1.502021 0.352936 -0.148667 0.520480 -0.620604 4.703548 -16.566196 19.536333 7673745296.921960 
rand_178 -1.655133 -1.105871 0.008015 -1.628916 0.202590 5188310.276816 -0.167046 -1.942994 -1.668508 0.287658 -0.148518 0.513353 -0.613545 4.698719 -16.327204 19.299297 6808053268.295377 
rand_179 -1.701672 -1.157543 0.002151 -1.629044 0.186799 4291781.123444 -0.098431 -3.447355 -1.979390 0.214234 -0.148157 0.519326 -0.620300 4.686043 -16.526385 19.526187 7044866693.165498 
rand_180 -1.663457 -1.127412 0.007158 -1.628956 0.191457 3639643.339156 -0.066653 -2.831884 -1.464325 0.220752 -0.149261 0.516220 -0.615342 4.723786 -16.419852 19.355911 7307376718.396306 
rand_181 -1.668347 -1.123745 0.005988 -1.628911 0.199521 6522097.916724 -0.169624 -2.789955 -1.545840 0.331284 -0.147884 0.519133 -0.620623 4.677123 -16.518110 19.534866 6694705674.105835 
rand_182 -1.645904 -1.157204 0.007805 -1.628937 0.193863 3456421.171409 -0.265350 -3.549750 -1.074540 0.352074 -0.148265 0.518819 -0.619212 4.689333 -16.507140 19.488266 6817289436.418742 
rand_183 -1.667170 -1.135041 0.005206 -1.628918 0.200085 6753981.692459 -0.069167 -3.474292 -1.216092 0.127244 -0.147540 0.511063 -0.614649 4.665578 -16.242151 19.330830 6836544220.304708 
rand_184 -1.677642 -1.169922 0.001021 -1.628872 0.197292 5087944.323974 -0.157933 -2.627274 -1.513718 0.289785 -0.147733 0.521583 -0.622832 4.671555 -16.600959 19.610422 7462391007.607295 
rand_185 -1.662188 -1.113492 0.005006 -1.628954 0.199451 5907711.013815 -0.094807 -2.445903 -2.032029 0.290506 -0.147394 0.517341 -0.617881 4.660302 -16.464388 19.448295 7239654586.439621 
rand_186 -1.672614 -1.121133 0.003906 -1.628923 0.187930 4952399.855117 -0.124665 -2.833879 -1.586221 0.311703 -0.147661 0.519661 -0.621634 4.668933 -16.532900 19.567611 8022534566.076880 
rand_187 -1.681038 -1.149456 0.000727 -1.628920 0.198636 4628587.602002 -0.061846 -2.784456 -1.592585 0.250960 -0.149253 0.514483 -0.614823 4.723554 -16.360420 19.338074 7019514037.322357 
rand_188 -1.641736 -1.130966 0.008840 -1.628891 0.199889 4345816.008756 -0.089037 -2.979777 -1.961099 0.275207 -0.148573 0.519754 -0.620395 4.699936 -16.538341 19.527750 7912068311.831668 
rand_189 -1.642382 -1.128364 0.003381 -1.628922 0.198312 7425312.583341 -0.277316 -2.915367 -1.532018 0.313832 -0.147939 0.519725 -0.620084 4.678850 -16.539696 19.517724 7068726179.118233 
rand_190 -1.690492 -1.100947 0.011334 -1.628957 0.193655 5175933.370949 -0.133905 -2.115381 -1.551717 0.270823 -0.147328 0.516299 -0.618235 4.657653 -16.423220 19.456197 7091874536.303607 
rand_191 -1.645950 -1.132123 0.001898 -1.628984 0.192507 6143417.118047 -0.146827 -2.933190 -1.310301 0.274750 -0.147973 0.515615 -0.617445 4.679665 -16.398229 19.427488 6983637703.778820 
rand_192 -1.647890 -1.125304 0.002945 -1.628907 0.197074 5594076.991793 -0.162118 -2.802610 -1.996275 0.311203 -0.148033 0.516196 -0.617186 4.681846 -16.421368 19.421652 6366840626.313530 
rand_193 -1.680407 -1.137166 0.007315 -1.628931 0.198267 5446212.408955 -0.177994 -3.490894 -1.297247 0.354164 -0.148054 0.516624 -0.616553 4.683317 -16.437624 19.400212 7476437134.388377 
rand_194 -1.638060 -1.113384 0.007380 -1.628913 0.196723 5307911.691554 -0.103114 -2.977469 -2.105669 0.334832 -0.147891 0.518937 -0.619445 4.676902 -16.515179 19.498674 6780509481.504433 
rand_195 -1.723679 -1.109057 0.002854 -1.628963 0.199967 5758092.527260 -0.180250 -3.366678 -1.459419 0.282956 -0.147880 0.519038 -0.619343 4.676722 -16.517025 19.494000 7139795108.663843 
rand_196 -1.646754 -1.132499 0.005799 -1.628887 0.191905 5738387.876211 -0.287065 -3.071668 -1.694418 0.386998 -0.148351 0.517547 -0.617671 4.693083 -16.467396 19.436690 6617063698.733064 
rand_197 -1.645630 -1.103637 0.004773 -1.628928 0.188482 5271283.921804 -0.170688 -2.990019 -1.539318 0.289371 -0.147962 0.520527 -0.620954 4.679157 -16.567560 19.548560 7262396160.754760 
rand_198 -1.654850 -1.127737 0.003128 -1.628896 0.202343 3714231.905834 -0.191313 -2.323532 -1.539177 0.239259 -0.147781 0.518228 -0.619326 4.673641 -16.492721 19.495507 7281095912.044609 
rand_199 -1.652730 -1.160320 0.002611 -1.628950 0.189387 5180315.294158 -0.059786 -2.834680 -1.452528 0.261502 -0.147544 0.515447 -0.617638 4.665353 -16.397901 19.437897 6826807198.806214 
rand_200 -1.669554 -1.130407 0.007593 -1.628934 0.189302 4013172.430196 -0.124434 -2.621900 -1.948773 0.368776 -0.148369 0.521177 -0.621216 4.693520 -16.587718 19.555396 7110118123.250399 
rand_201 -1.633859 -1.162764 0.005218 -1.628903 0.198775 7429501.270560 -0.093194 -3.721087 -1.481576 0.256679 -0.147947 0.518446 -0.618995 4.679215 -16.499190 19.483719 7083691261.846124 
rand_202 -1.683533 -1.149679 0.004123 -1.628968 0.190546 6493803.749315 -0.358180 -3.015690 -1.928753 0.444547 -0.148538 0.519861 -0.619604 4.698864 -16.548014 19.504734 7068551491.785864 
rand_203 -1.643208 -1.135684 0.006053 -1.628957 0.196257 4694786.876299 -0.163666 -2.661465 -1.812638 0.367983 -0.147793 0.516619 -0.617038 4.673967 -16.435217 19.415462 7260337091.819485 
rand_204 -1.674537 -1.132536 0.008778 -1.628922 0.189719 3493670.440165 -0.174754 -2.551335 -1.940431 0.293708 -0.147623 0.521147 -0.621778 4.667848 -16.589596 19.576776 7367849183.673623 
rand_205 -1.664822 -1.142901 0.001093 -1.628908 0.191179 6960981.011675 -0.113818 -2.585928 -1.679491 0.200315 -0.147126 0.516070 -0.619302 4.651351 -16.416247 19.492605 6974183754.944584 
rand_206 -1.631803 -1.136599 0.002246 -1.628940 0.194984 3647255.286121 -0.030016 -3.175207 -2.014929 0.270682 -0.148018 0.519246 -0.619747 4.681698 -16.526371 19.508580 7817524195.063596 
rand_207 -1.668546 -1.172622 0.000440 -1.628993 0.197387 5784986.687090 -0.162448 -2.208152 -1.771244 0.277497 -0.148483 0.519385 -0.618986 4.697359 -16.528196 19.480857 7226918297.419788 
rand_208 -1.678838 -1.108194 0.008072 -1.628877 0.203383 6968260.439224 -0.242594 -2.817811 -1.221111 0.259851 -0.147589 0.520604 -0.620363 4.666940 -16.572330 19.529988 7362361107.078477 
rand_209 -1.661014 -1.154662 0.010074 -1.628895 0.199588 5137251.965761 -0.106710 -2.448415 -1.635209 0.177182 -0.147436 0.519957 -0.621474 4.661361 -16.549708 19.567623 6538983699.427373 
rand_210 -1.644106 -1.122342 0.009526 -1.628940 0.189868 4806021.030502 -0.165996 -2.894040 -1.751945 0.237266 -0.148006 0.518454 -0.619169 4.680699 -16.498078 19.488757 6803102964.884356 
rand_211 -1.635792 -1.113539 0.002611 -1.628897 0.195280 6231822.183724 -0.109535 -2.372410 -2.125184 0.303686 -0.148016 0.518327 -0.619296 4.681462 -16.492939 19.491627 6900616165.957970 
rand_212 -1.673673 -1.126671 0.000250 -1.628903 0.190902 6734653.727810 -0.105473 -3.218404 -1.547580 0.163145 -0.148799 0.515713 -0.616361 4.707820 -16.401487 19.390930 7117009066.362056 
rand_213 -1.666575 -1.117538 0.006719 -1.628962 0.187687 4932890.287770 -0.183599 -2.585520 -1.297175 0.226557 -0.148347 0.513934 -0.614774 4.692413 -16.340958 19.336432 6453572265.135490 
rand_214 -1.644548 -1.134658 0.000530 -1.628953 0.193613 3648529.807986 -0.158399 -2.789213 -1.180518 0.226773 -0.147678 0.515736 -0.617412 4.670005 -16.405536 19.428995 7328286337.442272 
rand_215 -1.657898 -1.136465 0.001614 -1.628971 0.194443 4609625.064715 -0.140990 -2.112250 -1.443143 0.240668 -0.147885 0.519153 -0.619400 4.677273 -16.522039 19.495387 7984946425.197058 
rand_216 -1.666105 -1.136989 0.004850 -1.628992 0.194790 4588661.203201 -0.165551 -2.627841 -1.478455 0.332587 -0.148175 0.511457 -0.613220 4.686107 -16.261963 19.289005 6835754981.181313 
rand_217 -1.634038 -1.107439 0.005199 -1.628899 0.189347 7073504.428318 -0.222616 -3.632185 -1.511312 0.311046 -0.148379 0.514230 -0.615410 4.693784 -16.354892 19.361468 7674870044.791663 
rand_218 -1.659842 -1.147343 0.003320 -1.628982 0.190470 5832458.298128 -0.023385 -2.763959 -1.721180 0.257969 -0.148751 0.519543 -0.618656 4.706055 -16.534770 19.471086 6561233291.012818 
rand_219 -1.670233 -1.141864 0.001687 -1.628913 0.190058 6410443.929224 -0.135951 -2.418781 -1.829120 0.302348 -0.148155 0.518469 -0.618986 4.686139 -16.497138 19.481465 7476751826.102889 
rand_220 -1.678335 -1.109054 0.006698 -1.628968 0.200263 5466518.356571 -0.180412 -2.690512 -1.009962 0.301044 -0.148061 0.518622 -0.620050 4.682558 -16.503426 19.518766 7038389556.379444 
rand_221 -1.664049 -1.129357 0.004040 -1.628960 0.199742 2846233.461085 -0.004890 -2.896362 -1.633869 0.193743 -0.148817 0.516509 -0.615856 4.708751 -16.430283 19.374096 7297446798.908680 
rand_222 -1.669161 -1.078588 0.008910 -1.628947 0.201741 5132047.664464 -0.066568 -3.479153 -1.567534 0.190406 -0.148664 0.517483 -0.618889 4.703234 -16.460397 19.475281 7437130266.847339 
rand_223 -1.591641 -1.122417 0.005072 -1.628916 0.204826 4763871.059505 -0.169232 -2.440243 -1.219588 0.328988 -0.148480 0.518192 -0.619128 4.696464 -16.483171 19.483509 6947085170.871991 
rand_224 -1.625171 -1.108661 0.010114 -1.628935 0.194470 5034148.184795 -0.079886 -2.366374 -2.085464 0.321485 -0.148720 0.516172 -0.615319 4.705559 -16.422253 19.358803 6811217197.200074 
rand_225 -1.668962 -1.128397 0.004886 -1.628964 0.184485 4781782.579301 -0.045204 -2.919604 -1.668303 0.278551 -0.148472 0.523637 -0.623837 4.695827 -16.667359 19.642556 8071460335.205055 
rand_226 -1.640907 -1.122244 0.006553 -1.628901 0.193290 4830102.467895 -0.168469 -2.412589 -1.113926 0.169336 -0.147818 0.517233 -0.618238 4.674769 -16.456043 19.456231 6448738097.911949 
rand_227 -1.670840 -1.126332 0.006096 -1.628889 0.195994 3460756.371872 -0.218539 -3.950476 -2.175808 0.385742 -0.148156 0.518259 -0.620127 4.685562 -16.486525 19.517699 6803130051.253817 
rand_228 -1.672598 -1.111135 0.006222 -1.628942 0.200822 3868779.970841 -0.115585 -2.999294 -1.945578 0.235465 -0.148287 0.520297 -0.619684 4.690868 -16.561388 19.506044 7045447749.809795 
rand_229 -1.674702 -1.121134 0.001116 -1.628975 0.193613 6004582.518120 -0.078819 -2.528401 -2.296324 0.239969 -0.147760 0.519631 -0.621414 4.672442 -16.534834 19.562660 6714399782.116372 
rand_230 -1.671513 -1.138176 0.003674 -1.628898 0.197863 4782598.437094 -0.096509 -3.406357 -1.708423 0.253452 -0.148183 0.517738 -0.619932 4.686752 -16.469020 19.511481 7142520380.436035 
rand_231 -1.699797 -1.103033 0.006661 -1.628960 0.192545 5693872.251436 -0.278299 -3.260914 -1.298548 0.206006 -0.146545 0.521054 -0.623196 4.630889 -16.584084 19.624663 6772302077.616157 
rand_232 -1.648956 -1.124951 0.006400 -1.628932 0.196610 5738997.408084 -0.222337 -2.972978 -1.458401 0.331093 -0.148612 0.517096 -0.616856 4.701377 -16.452597 19.410745 7557329760.519749 
rand_233 -1.637843 -1.093546 0.001581 -1.628901 0.190742 4324850.576963 -0.192405 -2.647972 -1.945179 0.315841 -0.147925 0.520573 -0.621400 4.678380 -16.565619 19.560457 6781707807.458327 
rand_234 -1.610591 -1.146528 0.000596 -1.628958 0.194761 5793410.824118 -0.217402 -2.202771 -1.625926 0.358532 -0.148133 0.517135 -0.617569 4.685588 -16.451486 19.432369 6450059425.161140 
rand_235 -1.690994 -1.123868 0.007392 -1.628928 0.197060 6238612.013634 -0.105563 -2.478296 -2.062123 0.322164 -0.147973 0.517261 -0.619424 4.679670 -16.451644 19.493035 7095900257.091856 
rand_236 -1.690310 -1.129298 0.002869 -1.628895 0.197113 6092866.945210 -0.183981 -2.745597 -1.231818 0.198948 -0.147725 0.523969 -0.624766 4.671516 -16.681871 19.674967 7290775150.854968 
rand_237 -1.677524 -1.128098 0.001217 -1.628915 0.194746 4405100.858827 -0.055609 -2.587947 -1.833457 0.245568 -0.148695 0.511358 -0.612551 4.704006 -16.256275 19.264444 7032604095.251739 
rand_238 -1.679209 -1.090228 0.006972 -1.628891 0.198111 5056211.242940 -0.258480 -2.581676 -1.555985 0.370145 -0.148056 0.518048 -0.617960 4.683088 -16.487035 19.449600 7567246172.495066 
rand_239 -1.647315 -1.168279 0.000789 -1.628913 0.189384 4312829.768026 -0.171081 -3.013400 -1.929647 0.305994 -0.148218 0.516141 -0.617051 4.688210 -16.418961 19.415917 7436915961.528516 
rand_240 -1.681444 -1.144574 0.006164 -1.628916 0.191494 4250374.467927 -0.135935 -2.370342 -1.435439 0.286344 -0.148460 0.516458 -0.617315 4.696716 -16.428887 19.424126 6568038015.957681 
rand_241 -1.623810 -1.134909 0.007199 -1.629006 0.190576 6646385.532032 -0.099581 -3.205621 -1.083416 0.271805 -0.147981 0.514771 -0.616899 4.680206 -16.370635 19.410063 6609601442.608993 
rand_242 -1.693384 -1.156750 0.003690 -1.628917 0.186433 5562935.464498 -0.123600 -2.663060 -1.312195 0.188954 -0.148815 0.518093 -0.618382 4.707764 -16.479546 19.457309 7806477404.458053 
rand_243 -1.664719 -1.143563 0.001636 -1.628977 0.196565 3065796.806230 -0.173801 -2.341360 -1.341671 0.301608 -0.148934 0.519914 -0.618823 4.712840 -16.546798 19.475484 6863170306.921843 
rand_244 -1.672556 -1.116686 0.005882 -1.628941 0.198545 5465390.488961 -0.134987 -2.666242 -1.572901 0.314533 -0.148421 0.519674 -0.619443 4.695138 -16.536354 19.495052 6681276061.688861 
rand_245 -1.640211 -1.114048 0.001834 -1.628915 0.193521 4640293.892801 -0.015759 -2.827412 -1.656610 0.149886 -0.147663 0.519263 -0.620098 4.669250 -16.523892 19.518861 6861836483.473525 
rand_246 -1.611795 -1.156081 0.001870 -1.628905 0.200713 5702520.491615 -0.159910 -2.945848 -1.661233 0.374620 -0.149492 0.514249 -0.614768 4.731033 -16.352318 19.337524 6703572131.205024 
rand_247 -1.627237 -1.098847 0.004316 -1.628918 0.194050 4930102.347516 -0.125889 -2.895973 -1.869837 0.251531 -0.147694 0.519004 -0.618905 4.670322 -16.517082 19.479869 7126361540.560176 
rand_248 -1.687592 -1.098996 0.005451 -1.628917 0.195397 5779891.527379 0.023343 -1.710249 -1.961052 0.234150 -0.148034 0.512999 -0.614287 4.682004 -16.312858 19.323396 6808101195.868930 
rand_249 -1.656221 -1.119003 0.003237 -1.628931 0.195055 4097474.641682 -0.241907 -2.710128 -1.327301 0.281749 -0.147946 0.513857 -0.615683 4.679376 -16.338436 19.367190 7659105939.322422 
rand_250 -1.666563 -1.130547 0.005310 -1.628952 0.198890 4435178.270320 -0.178557 -2.535195 -1.321262 0.365469 -0.148249 0.520011 -0.619692 4.689717 -16.546375 19.501845 6713345362.260432 
rand_251 -1.623623 -1.106745 0.005729 -1.628911 0.195562 6193155.643669 -0.172217 -3.269875 -1.083095 0.224135 -0.147454 0.511973 -0.615389 4.661577 -16.276665 19.360860 7261988950.044195 
rand_252 -1.667515 -1.097381 0.005868 -1.628927 0.188131 5116883.902943 -0.139170 -3.431629 -1.466577 0.318729 -0.147592 0.519562 -0.620747 4.667110 -16.534397 19.540977 8351641604.278685 
rand_253 -1.650253 -1.128531 0.004374 -1.628916 0.205573 5376083.574006 -0.110776 -2.567937 -1.800054 0.287202 -0.148644 0.514570 -0.615430 4.702425 -16.362455 19.359175 7646045063.215543 
rand_254 -1.683578 -1.132947 0.002949 -1.628885 0.197417 5532986.980348 -0.066944 -3.094488 -1.775852 0.314833 -0.147438 0.519444 -0.621101 4.661553 -16.528041 19.551440 7283949827.275906 
rand_255 -1.634804 -1.126838 0.007243 -1.629000 0.182376 6939027.928269 -0.101670 -2.387033 -2.176792 0.225191 -0.147722 0.519078 -0.620210 4.671651 -16.517598 19.521937 7974850801.819089 
rand_256 -1.655295 -1.108126 0.002156 -1.628912 0.203798 3916278.739767 -0.085494 -2.588096 -1.562256 0.185060 -0.148250 0.515339 -0.616007 4.689090 -16.392739 19.382349 6850124089.352508 
rand_257 -1.612719 -1.089329 0.001252 -1.628951 0.195485 5959857.296189 -0.098419 -2.890191 -1.838756 0.230329 -0.148730 0.519524 -0.618239 4.705292 -16.531711 19.454227 7339537032.099469 
rand_258 -1.661096 -1.126191 0.003771 -1.628921 0.195965 5384827.612753 -0.123718 -1.743964 -1.297539 0.203122 -0.147827 0.516763 -0.618030 4.674982 -16.438837 19.448735 6976449179.825861 
rand_259 -1.676409 -1.138035 0.004248 -1.628924 0.189795 5347805.823115 -0.135254 -2.010439 -1.521000 0.227608 -0.149725 0.517462 -0.615718 4.739850 -16.464068 19.370358 7619847552.021194 
